return_period,median,LB,RB,group
370,-1724.2529698381254,-2207.3049557806653,-653.0609154902384,high
380,-1614.6342624245726,-2097.6872263184805,-535.54777326065,high
390,-1511.191049162042,-1995.7306134106807,-424.37248254392307,high
400,-1412.8452854302818,-1901.935311996223,-318.9302763789751,high
410,-1319.9336136577758,-1812.492033228753,-218.81562404700435,high
420,-1231.6840527784007,-1726.0691055673256,-123.66087822267764,high
430,-1148.4380942739158,-1644.3812066327791,-33.131902086146056,high
440,-1068.97591236273,-1567.301891484727,53.075706739140514,high
450,-995.4894100259567,-1496.048386393286,133.05209354946874,high
460,-927.3955797167246,-1430.889850490345,206.87737653640806,high
470,-860.1016262179774,-1365.3002984725968,279.2646927240871,high
480,-794.7707777314013,-1301.4733649277832,349.877379365817,high
490,-732.4986585268871,-1240.5449478765713,417.5754171384142,high
500,-674.2719861751712,-1182.511590928897,481.93713726085934,high
510,-618.1786410744562,-1127.2067004087148,543.7428974337276,high
520,-564.305300204901,-1074.4762286222822,602.8674636080054,high
530,-512.6235958289135,-1024.2581787889003,659.3494327442372,high
540,-463.46827384158405,-976.6134165656485,713.2192982168581,high
550,-416.4018600573263,-931.1361739998247,764.8465048428416,high
560,-372.5021625456302,-888.9893917307954,813.3857780674052,high
570,-330.8945761292425,-849.9608204249871,857.9162054535891,high
580,-290.8368782019352,-812.299654885137,900.9677935590771,high
590,-251.5712457907266,-775.5990569826081,943.3899164569957,high
600,-214.3021780239651,-739.6623389403503,984.0756656124559,high
610,-178.33878822965016,-705.719857826276,1023.1091630843885,high
620,-143.83682670619692,-673.2612540930959,1060.5691974361034,high
630,-111.33216243904008,-642.2171493034493,1096.5296427348067,high
640,-79.95830792445031,-612.5223808012033,1131.059838414365,high
650,-49.917332485440056,-584.1156845275982,1164.2249342230934,high
660,-21.14900989231137,-556.9394062255033,1196.0862039611038,high
670,6.429390886915826,-530.93923809446,1226.7013312706013,high
680,32.61124456859852,-506.26358528209494,1256.124670352855,high
690,57.390899560486105,-483.4625186244393,1283.1959056080195,high
700,80.65954190329467,-460.8854368004504,1308.596471890678,high
710,103.34168571015925,-439.7079196836985,1333.3067724178236,high
720,125.50184064865334,-419.0159803591405,1357.8541825820948,high
730,146.6228569188752,-399.24663892415447,1381.433192163221,high
740,167.21023722407153,-380.3620280742998,1404.0832238885423,high
750,186.83390377394426,-362.32627727051477,1425.8416218233378,high
760,205.4163062881653,-345.10538269155677,1446.7437870161339,high
770,222.92931154103007,-328.667087261103,1466.8233026084008,high
780,239.92546747867073,-312.98076984613544,1486.1120493560366,high
790,256.28415509523074,-298.01734281586414,1504.6403124125973,high
800,271.9261716198371,-283.74915723216964,1522.3013307298397,high
810,286.8588545479588,-270.94880369282873,1538.8988230363348,high
820,300.75525948670656,-257.4979319764898,1554.824589891481,high
830,314.1471841965249,-244.8275625319411,1569.511977700421,high
840,326.5618262587195,-232.99012370526816,1582.721243172493,high
850,338.2872100535351,-221.70149756436695,1595.365666009715,high
860,349.92762369477896,-210.83373834839858,1607.5708954369002,high
870,361.0683845386948,-200.4552760063998,1619.2713213148609,high
880,371.68064211254296,-190.59654210573626,1630.4382835692086,high
890,381.38870949541615,-181.23948294869842,1641.0902859611751,high
900,390.7930177526978,-172.36683919765528,1651.2450159521932,high
910,399.98496786614214,-163.96210278965737,1660.9193891285258,high
920,408.3463447871245,-156.00947663121224,1670.129590749445,high
930,416.6755677026267,-148.52588863555684,1678.891114632178,high
940,423.85485387591143,-141.4826524977707,1687.2187995725417,high
950,430.84860057582773,-134.85418974220374,1695.1268634824137,high
960,437.7127812125218,-128.626744940937,1702.6289354089731,high
970,444.18673225826933,-122.78713402948051,1709.7380855885585,high
980,450.27046613763014,-117.32271515375942,1716.4668536744357,high
990,455.6753132020003,-112.1141251731533,1722.2919594934638,high
1000,460.65036640210565,-107.1448397481945,1727.243726349051,high
10,-51.08287664317545,-190.4341828327954,0.0,low
20,-150.10779204754311,-353.75179135215734,0.0,low
30,-246.44480826428858,-494.7853579690518,0.0,low
40,-357.43428564494667,-640.901290234229,-36.389262646529254,low
50,-459.38893009647217,-772.9113441582946,-75.03336175315604,low
60,-556.4875757352895,-896.0571826453671,-117.56032786920062,low
70,-664.2802230502067,-1025.3038058097484,-178.69248021799856,low
80,-764.2015874685601,-1144.6057553852625,-234.74604157934502,low
90,-855.4228689382282,-1255.2787445752947,-286.7110120624222,low
100,-957.8958152282576,-1370.7554615789952,-356.17229294359163,low
110,-1039.8706658196386,-1469.6064030485861,-409.77802737237437,low
120,-1117.7854359181783,-1560.7015912501686,-454.82331539965344,low
130,-1192.2212877470888,-1648.5671002999236,-499.97816879360363,low
140,-1266.1882657827591,-1734.4347608380945,-546.2303327501962,low
150,-1347.8626472645324,-1826.973376088984,-605.6771285600628,low
160,-1414.5146634555547,-1902.0565774549973,-650.7864319900134,low
170,-1478.7269886999775,-1975.5997422023333,-694.2289307319165,low
