return_period,median,LB,RB,group
1000,671.2295508788047,-155.97524297090422,2053.6005542113417,0.5
10,-300.564850552844,-326.2791362671298,-281.8200585009549,1.0
20,-563.8969328185284,-591.1628692878323,-525.3628536659282,1.0
30,-791.4408041711712,-819.297947028314,-738.1313199523875,1.0
40,-1022.0713823492418,-1050.8826265866362,-957.246082815104,1.0
50,-1228.9029898627336,-1258.9029898627339,-1154.5776527212836,1.0
60,-1423.2963309925735,-1453.8397517072485,-1340.0563571817536,1.0
70,-1627.4427406415284,-1659.5855977843858,-1537.256848629489,1.0
80,-1815.3565783690233,-1848.23898172096,-1718.0747885048,1.0
90,-1989.13190976942,-2023.131839368305,-1885.7037255469834,1.0
100,-2174.7612459701863,-2209.4265027757897,-2065.206735731517,1.0
110,-2327.7097175972626,-2363.358565860275,-2212.745454342845,1.0
120,-2471.957361188143,-2509.0681318856814,-2352.403185357611,1.0
130,-2609.42342446702,-2647.631554555351,-2485.2115776927585,1.0
140,-2744.7236215923854,-2783.4730318156985,-2615.6775752825993,1.0
150,-2889.344214478949,-2929.3926645378983,-2756.59551689085,1.0
160,-3009.54270911611,-3051.1100091376793,-2873.2575085200338,1.0
170,-3125.986979442028,-3168.329854880917,-2985.6087983697826,1.0
180,-3237.957099739888,-3281.4698192170877,-3094.049658755888,1.0
190,-3346.5008112844857,-3390.8879402646035,-3198.9232572039864,1.0
200,-3459.55387617703,-3504.9570361189594,-3308.7239388711314,1.0
210,-3575.9738473933617,-3622.5298823939693,-3422.4366183051193,1.0
220,-3674.7377768403476,-3722.4877471548243,-3518.88158686032,1.0
230,-3770.756136685366,-3819.7490631143387,-3612.0111987876385,1.0
240,-3864.295715080246,-3914.4995098379563,-3703.129040525046,1.0
250,-3955.52014996131,-4006.904843552433,-3791.9916777392873,1.0
260,-4043.5394587923765,-4096.03086701647,-3877.6635914522612,1.0
270,-4111.032473547568,-4164.372558039011,-3942.5632704354293,1.0
280,-4152.252029097757,-4206.3325352204365,-3981.290649822192,1.0
290,-4146.888809554014,-4201.723873042739,-3973.506080049345,1.0
300,-4114.695114503839,-4170.369171672503,-3939.305448147195,1.0
310,-4057.9696736246296,-4114.989988186901,-3881.2298235925273,1.0
320,-3980.017077218928,-4038.4439116670997,-3802.440687875197,1.0
330,-3882.5353117973254,-3942.3876434199983,-3703.5775167490597,1.0
340,-3767.969441254755,-3829.7011290474716,-3586.8325876288905,1.0
350,-3639.034324442273,-3703.3890238096183,-3457.168595723574,1.0
360,-3505.9089635193313,-3571.427759206623,-3322.795547321586,1.0
370,-3353.252742685477,-3420.9243308631303,-3169.8835548400493,1.0
380,-3195.071641987035,-3264.02374650838,-3010.5388739506934,1.0
390,-3044.7028247135318,-3116.7728529045944,-2858.877015346417,1.0
400,-2902.2583232974193,-2977.5669839494,-2715.593276683141,1.0
410,-2768.9235982786927,-2845.3517043922484,-2579.3053155508583,1.0
420,-2641.978530394156,-2720.8000472627136,-2449.0785234816867,1.0
430,-2522.3303033094135,-2602.4612407593595,-2325.8119656946774,1.0
440,-2408.35456421056,-2490.025309750439,-2211.0840887922996,1.0
450,-2302.465973979509,-2385.562030332141,-2102.140351491852,1.0
460,-2203.707301341695,-2289.0735622050997,-2000.9424913974462,1.0
470,-2106.5608202751155,-2194.458557053712,-1901.681822988391,1.0
480,-2012.293748635353,-2102.9666718800036,-1805.6194038965268,1.0
490,-1922.6422209861485,-2015.6850180336005,-1715.343951508842,1.0
500,-1837.5881850421329,-1932.1884949918976,-1628.133866290952,1.0
510,-1756.0747480662276,-1852.946417744729,-1544.5567071948426,1.0
