params,exp_mean,exp_var
Risk Averse,7.69975599932541,44110.46971437966
Breach,0.009152298527388199,0.06663846761699026
Pop. Growth,9151.88331976243,5.861556453260918e9
Flood Memory,0.11866526005523509,13.320795866170327
Expectation Effect,4326.886589087133,2.4998397615227056e9
SLR,0.0,0.0
