risk_averse,breach,pop_growth,mem,fixed_effect,slr,RSI
0.2197265625,0.0,0.010371093750000001,12.0,0.028027343750000003,3.0,0.6557570083813451
0.0458984375,0.0,0.010371093750000001,12.0,0.028027343750000003,3.0,0.0
0.2197265625,1.0,0.010371093750000001,12.0,0.028027343750000003,3.0,0.0
0.2197265625,0.0,0.01001953125,12.0,0.028027343750000003,3.0,0.0
0.2197265625,0.0,0.010371093750000001,4.0,0.028027343750000003,3.0,0.0
0.2197265625,0.0,0.010371093750000001,12.0,0.008496093750000001,3.0,0.0
0.2197265625,0.0,0.010371093750000001,12.0,0.028027343750000003,1.0,0.0
0.2197265625,1.0,0.01001953125,4.0,0.008496093750000001,1.0,0.0
0.0458984375,0.0,0.01001953125,4.0,0.008496093750000001,1.0,0.0
0.0458984375,1.0,0.010371093750000001,4.0,0.008496093750000001,1.0,0.0
0.0458984375,1.0,0.01001953125,12.0,0.008496093750000001,1.0,0.0
0.0458984375,1.0,0.01001953125,4.0,0.028027343750000003,1.0,0.0
0.0458984375,1.0,0.01001953125,4.0,0.008496093750000001,3.0,0.0
0.0458984375,1.0,0.01001953125,4.0,0.008496093750000001,1.0,0.0
0.7197265625,1.0,0.00037109375,6.0,0.07802734375,2.0,0.0
0.5458984375,1.0,0.00037109375,6.0,0.07802734375,2.0,0.0
0.7197265625,0.0,0.00037109375,6.0,0.07802734375,2.0,0.0
0.7197265625,1.0,1.953125e-5,6.0,0.07802734375,2.0,0.0
0.7197265625,1.0,0.00037109375,10.0,0.07802734375,2.0,0.0
0.7197265625,1.0,0.00037109375,6.0,0.058496093750000006,2.0,0.0
0.7197265625,1.0,0.00037109375,6.0,0.07802734375,3.0,0.0
0.7197265625,0.0,1.953125e-5,10.0,0.058496093750000006,3.0,0.0
0.5458984375,1.0,1.953125e-5,10.0,0.058496093750000006,3.0,0.0
0.5458984375,0.0,0.00037109375,10.0,0.058496093750000006,3.0,0.0
0.5458984375,0.0,1.953125e-5,6.0,0.058496093750000006,3.0,0.0
0.5458984375,0.0,1.953125e-5,10.0,0.07802734375,3.0,0.0
0.5458984375,0.0,1.953125e-5,10.0,0.058496093750000006,2.0,0.0
0.5458984375,0.0,1.953125e-5,10.0,0.058496093750000006,3.0,0.0
