risk_averse,breach_null,pop_growth,mem,fixed_effect,base_move,RSI
0.2197265625,0.3193359375,0.025927734375,9.0,3.022421875,0.046289062500000006,0.11596582765891449
0.0458984375,0.3193359375,0.025927734375,9.0,3.022421875,0.046289062500000006,0.11972417932964106
0.2197265625,0.4798828125,0.025927734375,9.0,3.022421875,0.046289062500000006,0.1663562832920085
0.2197265625,0.3193359375,0.025048828125000002,9.0,3.022421875,0.046289062500000006,0.12198852951394605
0.2197265625,0.3193359375,0.025927734375,1.0,3.022421875,0.046289062500000006,-0.06192297243091086
0.2197265625,0.3193359375,0.025927734375,9.0,3.006796875,0.046289062500000006,0.11596582765891449
0.2197265625,0.3193359375,0.025927734375,9.0,3.022421875,0.0201953125,0.11596582765891449
0.2197265625,0.4798828125,0.025048828125000002,1.0,3.006796875,0.0201953125,0.001869977770099739
0.0458984375,0.3193359375,0.025048828125000002,1.0,3.006796875,0.0201953125,-0.05957467501408847
0.0458984375,0.4798828125,0.025927734375,1.0,3.006796875,0.0201953125,-5.155755958291334e-5
0.0458984375,0.4798828125,0.025048828125000002,9.0,3.006796875,0.0201953125,0.17377411117558758
0.0458984375,0.4798828125,0.025048828125000002,1.0,3.022421875,0.0201953125,0.001869977770099739
0.0458984375,0.4798828125,0.025048828125000002,1.0,3.006796875,0.046289062500000006,0.001869977770099739
0.0458984375,0.4798828125,0.025048828125000002,1.0,3.006796875,0.0201953125,0.001869977770099739
0.7197265625,0.4193359375,0.0009277343750000001,3.0,3.062421875,0.0262890625,0.08743334446382736
0.5458984375,0.4193359375,0.0009277343750000001,3.0,3.062421875,0.0262890625,0.12991279193151267
0.7197265625,0.3798828125,0.0009277343750000001,3.0,3.062421875,0.0262890625,0.07318535084642
0.7197265625,0.4193359375,4.8828125e-5,3.0,3.062421875,0.0262890625,0.08955559769912584
0.7197265625,0.4193359375,0.0009277343750000001,7.0,3.062421875,0.0262890625,0.1223235887073539
0.7197265625,0.4193359375,0.0009277343750000001,3.0,3.046796875,0.0262890625,0.08743334446382736
0.7197265625,0.4193359375,0.0009277343750000001,3.0,3.062421875,0.040195312500000004,0.08743334446382736
0.7197265625,0.3798828125,4.8828125e-5,7.0,3.046796875,0.040195312500000004,0.10934578598425786
0.5458984375,0.4193359375,4.8828125e-5,7.0,3.046796875,0.040195312500000004,0.17041900302569643
0.5458984375,0.3798828125,0.0009277343750000001,7.0,3.046796875,0.040195312500000004,0.1565820119641786
0.5458984375,0.3798828125,4.8828125e-5,3.0,3.046796875,0.040195312500000004,0.11722552558817607
0.5458984375,0.3798828125,4.8828125e-5,7.0,3.062421875,0.040195312500000004,0.15678009534318837
0.5458984375,0.3798828125,4.8828125e-5,7.0,3.046796875,0.0262890625,0.15678009534318837
0.5458984375,0.3798828125,4.8828125e-5,7.0,3.046796875,0.040195312500000004,0.15678009534318837
0.9697265625,0.3693359375,0.038427734375,12.0,3.042421875,0.0162890625,-0.016039252808147986
0.2958984375,0.3693359375,0.038427734375,12.0,3.042421875,0.0162890625,0.05299418659513552
0.9697265625,0.3298828125,0.038427734375,12.0,3.042421875,0.0162890625,-0.034377608787959646
