first,second
firstorder,"[0.017608913147671962, 0.0015375813843280597, -0.03759607024323384, -0.0025259808555912343, 0.010345534523099187, 0.0, 0.0, 1.5969984357378892]"
secondorder_conf,"Union{Missing, Float64}[missing 0.0 0.0 0.0 0.0 0.0 0.0 0.0; missing missing 0.0 0.0 0.0 0.0 0.0 0.0; missing missing missing 0.0 0.0 0.0 0.0 0.0; missing missing missing missing 0.0 0.0 0.0 0.0; missing missing missing missing missing 0.0 0.0 0.0; missing missing missing missing missing missing 0.0 0.0; missing missing missing missing missing missing missing 0.0; missing missing missing missing missing missing missing missing]"
totalorder_conf,"[0.0, 6.643939081797778e-20, 6.803393619760924e-18, 7.972726898157334e-20, 8.504242024701155e-19, 0.0, 0.0, 0.0]"
totalorder,"[0.005503461665288681, 4.196111960799886e-5, 0.02508740538712424, 0.0001132481072777049, 0.0018996636452460604, 0.0, 0.0, 45.26680312492412]"
firstorder_conf,"[4.082036171856555e-17, 3.82690891111552e-18, 5.4427148958087393e-17, 5.9529694172908084e-18, 3.061527128892416e-17, 0.0, 0.0, 8.708343833293983e-16]"
secondorder,"Union{Missing, Float64}[missing 0.06915008133754413 0.08024640791288613 0.07030230229822787 0.06665259080386551 0.06958606173975772 0.06958606173975772 -0.3832420145130886; missing missing -0.0015375813843280586 -0.0015375813843280781 -0.0015375813843280777 -0.0015375813843280597 -0.0015375813843280597 -0.001537581384328357; missing missing missing -0.26425658832772986 -0.2517249094969639 -0.26179729896795956 -0.26179729896795956 1.2930368368040959; missing missing missing missing -13.297887515303634 -13.760926680243909 -13.760926680243909 57.71656154851064; missing missing missing missing missing 0.0811122899595437 0.0811122899595437 -0.3938539655180542; missing missing missing missing missing missing 0.0 -2.220446049250313e-16; missing missing missing missing missing missing missing -2.220446049250313e-16; missing missing missing missing missing missing missing missing]"
