return_period,median,LB,RB
770,-7266.012699172052,-8314.75222516476,-6070.600584075143
780,-7325.578300154881,-8393.872317448466,-6129.684817138626
790,-7390.653596299242,-8462.562807577258,-6193.192319259251
800,-7452.401179450998,-8525.735039251982,-6256.218992796472
810,-7514.667907846711,-8588.434941105905,-6318.774424830453
820,-7576.761378651232,-8655.22889478748,-6380.867895634974
830,-7638.401875122732,-8725.410799546024,-6442.508392106474
840,-7699.598103468558,-8793.759028752967,-6503.704620452303
850,-7761.06885250129,-8857.606559856697,-6564.465018183988
860,-7815.944792111832,-8915.293354493579,-6619.283351020232
870,-7868.247622340865,-8970.225162961637,-6671.447813973527
880,-7922.543097513579,-9027.268431657256,-6725.782279586934
890,-7981.639558739233,-9090.049891619845,-6785.9705922901985
900,-8040.338723266916,-9152.40928118736,-6845.737840283277
910,-8098.914342514854,-9214.354083334569,-6904.3160770964005
920,-8157.374952770052,-9275.891567813724,-6962.509133071253
930,-8216.557859975703,-9345.616546461555,-7020.323689097499
940,-8275.34590542745,-9416.924540409316,-7077.766239777637
950,-8332.816399716949,-9487.778574464866,-7134.843100544611
960,-8389.17420984136,-9557.346555733953,-7190.809756780131
970,-8437.9947993713,-9618.76360102464,-7239.528763171054
980,-8486.155674892008,-9679.801715989392,-7287.947183480647
990,-8539.773507821585,-9745.161703101921,-7340.571614248667
1000,-8596.631786738759,-9813.169919177859,-7397.30827715906
