return_period,median,LB,RB
530,-4839.296309834286,-5960.136024442865,-3060.0260986704875
540,-4912.501057881442,-6037.500514593491,-3124.2810928767335
550,-4981.293059603631,-6114.0093047331575,-3187.8253863578893
560,-5051.252263126331,-6189.687177873489,-3250.67956261764
570,-5122.260097954938,-6264.557771340824,-3312.863253611989
580,-5190.868751474261,-6336.815410829709,-3370.9731925474775
590,-5250.891883348821,-6400.1634392220985,-3420.146662100688
600,-5313.358873463336,-6470.985355181852,-3472.4204427438326
610,-5383.809934247806,-6544.0431762768885,-3534.1594464861187
620,-5453.715816803051,-6616.385292278679,-3595.293629022842
630,-5522.251703285422,-6688.030100314069,-3655.838537221757
640,-5590.141828704282,-6758.995241181261,-3715.8090787996675
650,-5658.133821727105,-6829.297641733987,-3775.2195581399997
660,-5722.82349173956,-6898.953554275617,-3834.0837095836273
670,-5782.338540031094,-6965.185393925716,-3886.496196945831
680,-5839.827941477515,-7031.50696598542,-3936.2775222206647
690,-5903.635362550485,-7103.1384396810645,-3994.202186409446
700,-5970.303476814815,-7177.301598037764,-4056.2152103119643
710,-6035.38509400267,-7246.680845359959,-4117.6985650110655
720,-6099.918634745598,-7313.851574065944,-4178.664145568688
730,-6163.916237106799,-7380.464463062094,-4239.123418953188
740,-6227.389608275929,-7446.531697956887,-4299.087445081717
750,-6290.350045460258,-7512.065037622306,-4358.5668965563345
760,-6348.119402046863,-7572.299946834492,-4412.622520771854
770,-6402.212813389421,-7628.606425035177,-4462.6727236169045
780,-6460.565922250327,-7687.74864151319,-4516.046926759607
790,-6525.246773139917,-7753.016166787271,-4576.474388361674
800,-6589.437911777133,-7817.789537974482,-4636.444341011407
810,-6652.758846089884,-7882.078607847749,-4695.965906826656
820,-6713.9918992851,-7951.323291355277,-4755.047915998624
830,-6774.778254927893,-8016.687453525999,-4813.698919569653
840,-6835.1264985853295,-8078.449004997425,-4871.9272015061015
850,-6895.7944665648865,-8139.770699705843,-4929.740790109923
860,-6952.258780980995,-8195.343322310418,-4981.928469430892
870,-7005.530182140199,-8250.137100163236,-5031.602321420895
880,-7060.963973585232,-8308.989152613696,-5084.0954878627
890,-7121.637213311264,-8374.636722705014,-5144.01083769656
900,-7181.58133867855,-8439.84295397018,-5203.52338556643
910,-7240.832888558491,-8503.466764462115,-5262.640272833007
920,-7299.694830234205,-8562.462483278001,-5321.368437368546
930,-7358.318410371692,-8621.074481456331,-5379.714621496183
940,-7417.477634980207,-8679.309343180335,-5437.685379538901
950,-7476.260241011478,-8737.17347099237,-5495.287085002581
960,-7533.9091744211055,-8793.97332704995,-5551.83889481197
970,-7584.183042718123,-8843.988051695951,-5601.724047632468
980,-7634.146731761,-8893.694195949945,-5651.301419492018
990,-7688.049754242699,-8947.08400639003,-5705.527894236734
1000,-7745.804115142519,-9004.075093797785,-5764.2999531259775
