return_period,median,LB,RB
10,-27.879522912873995,-91.25675621139864,-5.368074841127132
20,-135.378140944832,-263.71444193332917,-49.358285018899934
30,-271.7742958674653,-447.5507125537104,-126.4758737502683
40,-414.0788478082789,-634.7383408896856,-217.74437779462875
50,-582.3983032739796,-835.3346918425949,-336.18975998311953
60,-740.8593059867391,-1018.8294764686342,-452.4446531194833
70,-912.569283523606,-1219.4305570306497,-573.0375436336749
80,-1072.4994355118804,-1401.5887042265836,-693.4733180341615
90,-1251.9881726126216,-1600.844153851361,-843.4188560746533
100,-1420.5389754323178,-1793.622618410518,-980.4680212036862
110,-1564.0033945154476,-1957.982063136665,-1087.554167920943
120,-1718.0187685688607,-2131.623175365024,-1207.6598165936418
130,-1865.3414205866045,-2296.0463020393463,-1322.47857314922
140,-1989.6267889501146,-2435.9677357317723,-1415.6541523046967
150,-2126.5747278864487,-2589.7969738636657,-1529.859895165955
160,-2257.5667561359865,-2737.5688299272983,-1635.2551145827558
170,-2376.884981243296,-2872.1052204497146,-1735.0635073827639
180,-2489.349721427426,-2995.2722931993235,-1829.1526006499143
190,-2612.6435317230753,-3125.665133936459,-1932.731940074742
200,-2729.7518538513696,-3257.4469160116646,-2035.0123902305327
210,-2840.1715975113784,-3382.422035791922,-2127.138947089193
220,-2936.4673146317978,-3494.835778852597,-2212.4977569376824
230,-3048.3562665691725,-3611.0521755582176,-2310.9726828489993
240,-3159.1507186485433,-3730.249910860809,-2406.4075710567777
250,-3266.560931786658,-3845.4635596628423,-2501.0312070855434
260,-3360.840180407809,-3950.2181713805326,-2582.286080684924
270,-3455.4158563847695,-4053.8222718615643,-2663.532576486618
280,-3557.595013036809,-4164.263894011074,-2753.795812049038
290,-3654.2464976871365,-4271.576186660738,-2842.2860438377575
300,-3752.794796072163,-4374.0212966227045,-2925.517265299027
310,-3841.7439525735304,-4469.649571684193,-3003.2655503770293
320,-3923.4242037021136,-4558.735186993577,-3073.5014589289212
330,-4019.7816652141914,-4660.119934643899,-3157.199923819604
340,-4113.264236846006,-4757.568231567968,-3239.387776894984
350,-4207.456804568021,-4852.49499498255,-3320.1356060273893
360,-4298.2054477112615,-4945.805732956984,-3399.508790734757
370,-4380.367421492418,-5031.22017460968,-3471.9354543853215
380,-4457.16385388078,-5113.61088298002,-3538.759890553857
390,-4546.473498759324,-5207.4319522814185,-3616.794182155727
400,-4633.65108665597,-5299.818634809764,-3695.8878168382653
410,-4719.75413992522,-5390.827960825022,-3773.8022758009674
420,-4804.492867144693,-5480.740190524268,-3850.37757346096
430,-4886.400775081684,-5568.350354962302,-3923.96242859225
440,-4957.469572345186,-5645.29057891247,-3986.0582071607296
450,-5032.844720263848,-5726.633277903957,-4053.5884817421033
460,-5115.671877147752,-5813.530565347266,-4127.868364451255
470,-5196.710748372545,-5898.536186602404,-4201.1845295738385
480,-5277.0622283347275,-5983.2909675539195,-4273.569615552389
490,-5357.849295987786,-6064.979076478724,-4345.054501740229
500,-5436.588670389516,-6144.164332657748,-4415.668437014507
510,-5503.3720978018555,-6214.6215606022015,-4475.631320997036
520,-5570.838709443902,-6285.840591015612,-4537.03281596134
530,-5647.225933972602,-6365.020513730604,-4608.929679747358
540,-5722.7355379188875,-6443.308207820972,-4680.016383107719
550,-5797.426545939499,-6520.7299906830685,-4750.316822734858
560,-5874.092569720859,-6597.007302511615,-4819.853770608432
570,-5947.3549642831695,-6670.805763375601,-4888.648945990113
580,-6019.256634782843,-6744.047115741883,-4954.798620577307
590,-6082.375723956231,-6810.195056991398,-5011.671850487604
600,-6145.803911646536,-6877.505771494763,-5071.294126544481
610,-6219.390465665858,-6951.07808428765,-5139.550025126232
620,-6290.403969785826,-7023.929651810583,-5207.137260264053
630,-6361.320172658096,-7096.079000747619,-5274.073019883966
640,-6431.785559012145,-7168.018005566353,-5340.373785295098
650,-6501.592872237032,-7242.432045227969,-5406.055370788024
660,-6570.916074769575,-7318.429634532806,-5471.13296043959
670,-6633.565380378881,-7383.362138678114,-5529.347499012284
680,-6693.699542815105,-7445.508502811543,-5584.749296495562
690,-6761.2705603519535,-7515.517901057503,-5647.211165295466
700,-6829.437548458534,-7584.000477071993,-5713.169038046744
710,-6897.333685870444,-7652.524101424689,-5778.563547624921
