return_period,median,LB,RB
10,-6.190648219730393,-57.879522912874,0.0
20,-50.786856447471365,-177.37372851684708,0.0
30,-136.05459787460728,-326.75405493863053,-9.049423140476515
40,-233.49797229095662,-486.3964054169981,-20.859999965330413
50,-358.62562987258025,-672.0166531620337,-64.31907603887028
60,-482.14402407471647,-836.1291093156642,-105.45857168079883
70,-619.5270331166392,-1018.1269595597254,-161.2703928259741
80,-749.0234105322868,-1192.9288639233766,-213.2852177959232
90,-901.4187152724226,-1387.7019303185423,-294.28096221042824
100,-1042.9008222154473,-1571.0765673382284,-357.775054686943
110,-1165.1988934803867,-1721.07175162712,-419.1765084409656
120,-1294.6486281132522,-1883.806888397112,-501.6806691546341
130,-1415.1190720514076,-2041.4061806348195,-578.2668420679023
140,-1518.1112908865632,-2171.224290706251,-645.7634543570842
150,-1636.6045585484012,-2317.3620669315505,-722.7134191331678
160,-1746.6557039852644,-2457.0552010539086,-807.0989264116103
170,-1852.0038964960906,-2585.2536686234052,-876.886216573319
180,-1951.5323010230818,-2704.365431997276,-938.5970852684617
190,-2060.324856234694,-2829.8641714734995,-1014.8052334740792
200,-2168.5537911963456,-2953.472282181634,-1093.644157242387
210,-2268.991860363146,-3079.4438912281666,-1166.1260693800084
220,-2356.681063066305,-3188.749456907687,-1229.994179347484
230,-2457.6622292639777,-3307.141026813679,-1310.4622608118684
240,-2556.04823040664,-3420.2152593133405,-1383.6280359746988
250,-2652.952313610094,-3529.743626112289,-1453.3010671459974
260,-2736.483337351035,-3627.9397752298178,-1512.4180732156215
270,-2823.5444456448668,-3724.903073412947,-1575.053962349696
280,-2922.8840482507458,-3829.010138681063,-1646.386581144517
290,-3015.5278602499684,-3930.9055449334674,-1716.20380394709
300,-3104.5072469952847,-4030.7103170098167,-1784.588555184589
310,-3186.5465260932506,-4123.842643979238,-1846.5561662615041
320,-3262.6093368316524,-4207.498046440166,-1901.0418063954876
330,-3352.297707930833,-4303.651640034818,-1975.0252708970743
340,-3439.357258950258,-4399.219897858876,-2047.6734624547753
350,-3523.4771597741296,-4495.348265873643,-2119.04877570574
360,-3609.616888540584,-4589.8401524300325,-2189.2090014738596
370,-3687.0939200320972,-4676.6558733794855,-2250.543368984901
380,-3757.761526999401,-4757.222253554455,-2304.383868240322
390,-3841.6830110507717,-4848.793417117214,-2373.4559744166518
400,-3924.3214584921925,-4944.493525451563,-2442.66174100802
410,-4006.08076191262,-5030.701400214218,-2510.866382858483
420,-4086.0130337397645,-5118.086330230712,-2580.334933345512
430,-4164.352717402571,-5208.903303578887,-2648.113203439071
440,-4230.21187649035,-5284.139406558912,-2703.1003743599767
450,-4301.362195401107,-5361.015458399441,-2764.6337638116543
460,-4379.8452995241605,-5443.842615283342,-2834.232996377488
470,-4457.580521174681,-5525.595161050169,-2902.92923876632
480,-4533.713927123494,-5608.553041954226,-2970.753072751702
490,-4607.03818473196,-5690.613774317797,-3037.733431864691
500,-4682.071261259503,-5771.674702755941,-3102.9418579293692
510,-4745.480722345366,-5843.585542166826,-3156.940905278629
520,-4811.066058641496,-5925.1654558703885,-3212.593441396212
