return_period,median,LB,RB
530,-4903.815219000904,-6023.371256292115,-3318.676790478291
540,-4979.455177488995,-6100.920387230684,-3386.2579207171807
550,-5055.781369084176,-6183.495364236791,-3451.6174288197835
560,-5130.4857248585895,-6259.173237377123,-3517.0002213658454
570,-5202.854675584784,-6334.531808182839,-3581.6855551013477
580,-5272.701040661238,-6411.498515248322,-3644.0250579510284
590,-5333.107411419689,-6480.796358462098,-3698.273369557772
600,-5395.929816173824,-6552.170845228993,-3755.38840635679
610,-5467.10116771007,-6630.545080535173,-3821.414840914511
620,-5537.479255780843,-6708.15152892207,-3886.7944527940604
630,-5604.366660797903,-6785.009926274582,-3951.5438685067907
640,-5671.782307594594,-6861.139197110986,-4015.6790310276115
650,-5741.3953087802865,-6933.854843276929,-4082.379247296846
660,-5808.108013749731,-7005.145871136434,-4151.217602179531
670,-5868.456798897304,-7069.901177265942,-4211.975138439961
680,-5925.787371735206,-7130.463686160878,-4267.684186311164
690,-5989.559406139783,-7197.828703661646,-4328.403340527721
700,-6056.574786740284,-7268.20480712353,-4392.467685831594
710,-6122.876126769209,-7337.979810166279,-4455.984841067816
720,-6189.525077713121,-7408.588073121634,-4518.967094773655
730,-6253.368839684026,-7484.424307586053,-4581.426293231942
740,-6318.140127277489,-7551.7121842341,-4643.373862209506
750,-6385.338286195381,-7620.435959862436,-4704.820827346137
760,-6444.5900084731875,-7689.111231184948,-4761.001945521951
770,-6498.662102618289,-7753.1635741116515,-4813.286532422588
780,-6555.78269805042,-7820.382307350051,-4868.8289126204945
790,-6619.436868767162,-7894.449948391427,-4931.3097345682645
800,-6681.926942968421,-7967.956807828601,-4993.317501142994
810,-6744.337905182469,-8034.6063834371635,-5055.9873343483905
820,-6806.287973052106,-8098.715797905021,-5116.696219626407
830,-6867.786112718819,-8177.29675414582,-5176.5952935357445
840,-6928.841010283251,-8249.861336044141,-5236.802206411779
850,-6991.567010414588,-8313.28789441532,-5296.580334434178
860,-7047.826091139021,-8370.556679255784,-5350.423311078774
870,-7099.064349040962,-8425.073385896621,-5401.619203101901
880,-7153.752669105972,-8484.46328717722,-5455.34736208426
890,-7214.486907548041,-8552.294560223756,-5515.808637656928
900,-7274.812838760095,-8619.669813734745,-5575.863441088253
910,-7334.737701706856,-8686.597132576408,-5635.518978808286
920,-7394.268529083427,-8753.084371241926,-5694.782251904513
930,-7453.4121553631485,-8819.13916283973,-5753.660064133542
940,-7512.175224449728,-8884.768927639798,-5812.159029538833
950,-7570.022193494529,-8949.980881205742,-5870.285579699219
960,-7627.847422501351,-9013.132883890205,-5927.333482004985
970,-7678.7072030163,-9067.55305060347,-5977.477778476494
980,-7729.210649706691,-9121.637456268443,-6027.312695124934
990,-7783.301216381084,-9179.957580286538,-6081.4735917389735
1000,-7844.525768672029,-9242.418794387442,-6139.864013882183
