return_period,median,LB,RB
740,-6042.436985551907,-7813.461369314729,-4609.565226747703
750,-6107.818978012558,-7901.696789695656,-4667.22851176508
760,-6167.561938178487,-7985.494772099954,-4723.600122196986
770,-6223.575867692203,-8052.447761422878,-4776.629503782814
780,-6282.7697894291405,-8121.6380177761575,-4833.10630167927
790,-6348.869021044322,-8197.465681970989,-4896.9071409921335
800,-6414.594697900193,-8272.719239058159,-4959.568115500224
810,-6479.4158369778115,-8355.632892508205,-5022.701426813972
820,-6543.046060804891,-8438.08958006617,-5080.914051510704
830,-6609.0584588427355,-8519.944742817006,-5139.627597839786
840,-6674.520967583512,-8601.209942121512,-5200.823826185617
850,-6736.366530406331,-8681.89638252733,-5261.584223917298
860,-6793.536843560237,-8754.72802203614,-5316.008670007338
870,-6847.915182925346,-8825.08097987887,-5367.619663857678
880,-6906.611723186084,-8899.954028901575,-5421.878604517435
890,-6968.555553886899,-8982.38881546115,-5481.967893192783
900,-7030.330797866468,-9064.269405241104,-5540.938185501194
910,-7093.061582971701,-9145.605623712658,-5599.516422314319
920,-7155.119451797027,-9226.407016376592,-5657.709478289173
930,-7221.507948409844,-9306.6828596866,-5715.524034315418
940,-7278.341117352522,-9386.442171435574,-5772.96658499556
950,-7337.380522557814,-9462.324455644452,-5830.043445762529
960,-7396.854840782251,-9535.374652880317,-5886.048271031258
970,-7451.738457846709,-9599.90142198319,-5935.155992898706
980,-7506.273467508666,-9664.03007441451,-5985.405181233073
990,-7563.764039956986,-9732.847585222407,-6041.681333865423
1000,-7621.518400856803,-9806.249052709623,-6102.870425479548
