return_period,median,LB,RB,group
550,-5055.781369084176,-6183.495364236791,-3451.6174288197835,no breach
560,-5130.4857248585895,-6259.173237377123,-3517.0002213658454,no breach
570,-5202.854675584784,-6334.531808182839,-3581.6855551013477,no breach
580,-5272.701040661238,-6411.498515248322,-3644.0250579510284,no breach
590,-5333.107411419689,-6480.796358462098,-3698.273369557772,no breach
600,-5395.929816173824,-6552.170845228993,-3755.38840635679,no breach
610,-5467.10116771007,-6630.545080535173,-3821.414840914511,no breach
620,-5537.479255780843,-6708.15152892207,-3886.7944527940604,no breach
630,-5604.366660797903,-6785.009926274582,-3951.5438685067907,no breach
640,-5671.782307594594,-6861.139197110986,-4015.6790310276115,no breach
650,-5741.3953087802865,-6933.854843276929,-4082.379247296846,no breach
660,-5808.108013749731,-7005.145871136434,-4151.217602179531,no breach
670,-5868.456798897304,-7069.901177265942,-4211.975138439961,no breach
680,-5925.787371735206,-7130.463686160878,-4267.684186311164,no breach
690,-5989.559406139783,-7197.828703661646,-4328.403340527721,no breach
700,-6056.574786740284,-7268.20480712353,-4392.467685831594,no breach
710,-6122.876126769209,-7337.979810166279,-4455.984841067816,no breach
720,-6189.525077713121,-7408.588073121634,-4518.967094773655,no breach
730,-6253.368839684026,-7484.424307586053,-4581.426293231942,no breach
740,-6318.140127277489,-7551.7121842341,-4643.373862209506,no breach
750,-6385.338286195381,-7620.435959862436,-4704.820827346137,no breach
760,-6444.5900084731875,-7689.111231184948,-4761.001945521951,no breach
770,-6498.662102618289,-7753.1635741116515,-4813.286532422588,no breach
780,-6555.78269805042,-7820.382307350051,-4868.8289126204945,no breach
790,-6619.436868767162,-7894.449948391427,-4931.3097345682645,no breach
800,-6681.926942968421,-7967.956807828601,-4993.317501142994,no breach
810,-6744.337905182469,-8034.6063834371635,-5055.9873343483905,no breach
820,-6806.287973052106,-8098.715797905021,-5116.696219626407,no breach
830,-6867.786112718819,-8177.29675414582,-5176.5952935357445,no breach
840,-6928.841010283251,-8249.861336044141,-5236.802206411779,no breach
850,-6991.567010414588,-8313.28789441532,-5296.580334434178,no breach
860,-7047.826091139021,-8370.556679255784,-5350.423311078774,no breach
870,-7099.064349040962,-8425.073385896621,-5401.619203101901,no breach
880,-7153.752669105972,-8484.46328717722,-5455.34736208426,no breach
890,-7214.486907548041,-8552.294560223756,-5515.808637656928,no breach
900,-7274.812838760095,-8619.669813734745,-5575.863441088253,no breach
910,-7334.737701706856,-8686.597132576408,-5635.518978808286,no breach
920,-7394.268529083427,-8753.084371241926,-5694.782251904513,no breach
930,-7453.4121553631485,-8819.13916283973,-5753.660064133542,no breach
940,-7512.175224449728,-8884.768927639798,-5812.159029538833,no breach
950,-7570.022193494529,-8949.980881205742,-5870.285579699219,no breach
960,-7627.847422501351,-9013.132883890205,-5927.333482004985,no breach
970,-7678.7072030163,-9067.55305060347,-5977.477778476494,no breach
980,-7729.210649706691,-9121.637456268443,-6027.312695124934,no breach
990,-7783.301216381084,-9179.957580286538,-6081.4735917389735,no breach
1000,-7844.525768672029,-9242.418794387442,-6139.864013882183,no breach
10,-6.190648219730393,-57.879522912874,0.0,stable
20,-50.786856447471365,-177.37372851684708,0.0,stable
30,-132.7611614847039,-323.58761297612136,-6.099973993947384,stable
40,-194.0595594655388,-445.4103252527566,12.532288304414998,stable
50,-246.52507507526843,-550.9481070411355,26.175899527418537,stable
60,-269.63477939620753,-618.5339673787324,66.0003972145069,stable
70,-284.3769805753634,-677.4758325283913,124.3533265744541,stable
80,-272.98321550286016,-706.3962050457102,196.3164509382089,stable
90,-262.10420565767777,-726.2309089057687,262.1245659458375,stable
100,-239.53805396545374,-727.3373182972643,357.96601565587486,stable
110,-184.83458140058838,-694.0669847006695,471.38323145203503,stable
120,-130.53084420386108,-658.8732709982539,555.1281485259078,stable
130,-65.03144407815103,-613.2605465923302,652.2254292383182,stable
140,20.83328406942246,-553.6455569122597,782.5870745613527,stable
150,104.75200974757331,-494.74004860229434,903.6690703517318,stable
160,192.6940355644665,-432.73609693289336,1031.2283328702001,stable
170,288.60358390293914,-360.5957995264675,1153.1571670271742,stable
180,391.3789452044957,-282.2711440471084,1276.6501095107897,stable
190,489.1089413175132,-202.78214642635612,1386.2910410040563,stable
200,590.901566088497,-124.29343288512972,1517.7588284805533,stable
210,693.9793341265399,-43.376290763166246,1650.2487523200907,stable
220,809.6166669755112,49.306467652268566,1796.1360523363794,stable
230,915.1134004909077,120.77589011666672,1936.146565078951,stable
240,1031.4997608987055,198.24428663805293,2078.0964077004974,stable
250,1151.55038332181,288.67178032462243,2215.6747279490082,stable
260,1264.4619152110113,370.075418237755,2351.7798352503514,stable
270,1361.1439057363368,444.34575774281166,2476.891514621494,stable
280,1457.7439811256536,504.4755347393584,2590.0946117140757,stable
290,1544.1232079513975,560.031178921623,2700.3268252345115,stable
300,1626.2982769000582,620.9494531484015,2806.5150804640202,stable
310,1697.135203539654,678.0295577585139,2907.053024855872,stable
320,1764.173509766012,723.8914692463686,2994.189860845313,stable
330,1824.2530369903643,769.947539339375,3077.3300921763853,stable
340,1882.1176680000335,807.5257125974731,3149.650175290537,stable
350,1932.5734039241643,839.2815229443236,3216.684634385022,stable
360,1976.6081008661386,868.1571447218666,3278.6744517235234,stable
370,2016.932944895315,894.2215756461801,3335.9387442168145,stable
380,2056.0306064677698,921.4468291058847,3388.3839359726535,stable
390,2087.1951912631175,940.3974112521437,3430.4694994586707,stable
400,2112.433021505528,955.2269922659161,3466.9488681096354,stable
410,2134.551023167879,968.293653281863,3506.1332838125127,stable
420,2155.143574540948,979.9829342102748,3536.65996294439,stable
430,2170.787846656358,989.1077194415038,3563.504224262362,stable
440,2183.8390126167205,995.7164130184319,3586.8272932262607,stable
450,2194.7556817172463,1000.6943811438732,3606.5094251466553,stable
460,2206.118066834866,1005.3750312871907,3624.010986552099,stable
470,2214.1527150674765,1009.9949540209409,3641.285480252218,stable
480,2222.934680678628,1014.556206014111,3658.3405964005897,stable
490,2229.919287359684,1019.0607330889625,3675.183610680463,stable
500,2238.3463393451084,1023.5103783254235,3691.8214146081036,stable
510,2246.4767672307516,1027.9068894233924,3710.096391604363,stable
