return_period,median,LB,RB
600,1243.81365232592,-1951.7308266577902,2276.198733223273
610,1245.7694774797583,-1958.2477214972523,2283.4016169932074
620,1249.165820954022,-1964.7007740983518,2290.533938289156
630,1250.7096707057117,-1971.091625519346,2297.597510912361
640,1252.2089342451563,-1977.4218493525732,2304.594074096456
650,1253.694196228671,-1983.6929555051647,2311.5252966861626
660,1255.16580001476,-1989.9063937130995,2318.392781021248
670,1257.6642012944485,-1996.063556811443,2325.1980665509927
680,1261.5182393802406,-2002.1657837806197,2331.350876445631
690,1264.6146960447786,-2007.1805077712233,2334.407925081525
700,1267.2971932619312,-2011.5987384818436,2336.774834390786
710,1269.2309852965518,-2015.9792319463977,2339.1215273182243
720,1270.0066288150938,-2020.322835650255,2341.4484578738593
730,1271.5762795540104,-2024.6303665784162,2343.7560637282368
740,1273.4072421838937,-2028.90261271479,2346.044767015579
750,1275.2234086411336,-2033.1403344483515,2348.3149750871307
760,1273.0461699299594,-2037.3442658934891,2350.5670812184508
770,1275.3617583288396,-2041.5151161305675,2352.8014652740294
780,1274.7372456521025,-2045.2627543478975,2354.6765303105894
790,1274.6767554841736,-2048.19612627033,2355.8498790795584
800,1274.9678717591742,-2051.107289020314,2357.0143441795517
810,1276.3121312367111,-2053.9966854191152,2358.1701027390736
820,1278.1763693901921,-2056.8647441167814,2359.3173262181444
830,1280.02700785239,-2059.7118802124623,2361.0264064769326
840,1281.8643080105758,-2062.5384958404484,2363.570360542115
850,1283.68852318497,-2065.3449807241286,2366.0961969374275
860,1285.4998989694504,-2068.1317127002567,2368.60425571594
870,1286.5554317502192,-2071.544395786739,2371.094866679232
880,1287.3009031302445,-2074.838875241563,2373.2522578256103
890,1287.6708359375007,-2076.749615327386,2374.6170721726194
900,1288.0775276085933,-2078.6475097924813,2375.972711076267
910,1288.481515448686,-2080.5327863795756,2377.3193372099013
920,1288.8828468692009,-2082.4056663419815,2378.65710861162
930,1289.281567945247,-2084.2663646968485,2379.9861788650996
940,1289.6777234671754,-2086.115090465866,2381.3066972715387
950,1290.0713569897052,-2087.952046904342,2382.6188090133073
960,1290.4625108785986,-2089.7774317191524,2383.922655309596
970,1290.8512263551183,-2091.59143727626,2385.218373564676
980,1291.237543538442,-2093.3942507984248,2386.506097509082
990,1291.4285714285688,-2094.2857142857174,2387.1428571428514
1000,1291.4285714285688,-2094.2857142857138,2387.1428571428587
