step,floodepth,risk_averse,seed
0,0.0,0.3,1000
1,0.5596577804839261,0.3,1000
2,-0.11206873803761486,0.3,1000
3,1.245118364191017,0.3,1000
4,0.13528143027259015,0.3,1000
5,4.520198784509404,0.3,1000
6,0.28252837426998123,0.3,1000
7,3.454802634849105,0.3,1000
8,0.6080013015183514,0.3,1000
9,4.9413297302515184,0.3,1000
10,-0.22976705733569613,0.3,1000
11,1.8909852901464776,0.3,1000
12,2.468963254258334,0.3,1000
13,3.6291769627321586,0.3,1000
14,0.09187427375893814,0.3,1000
15,-0.1307279799424924,0.3,1000
16,0.7925104743290439,0.3,1000
17,0.8165425308798431,0.3,1000
18,-0.5684735235288656,0.3,1000
19,2.234522916957033,0.3,1000
20,1.3695204080733663,0.3,1000
21,-0.16964663582601425,0.3,1000
22,0.4659136928408129,0.3,1000
23,0.07469840951924994,0.3,1000
24,0.01588779125221612,0.3,1000
25,0.7042358922862247,0.3,1000
26,1.566770550053521,0.3,1000
27,0.5677270855740397,0.3,1000
28,0.02749734940716414,0.3,1000
29,-0.22701541057528507,0.3,1000
30,1.5790950812076623,0.3,1000
31,2.4743781380008887,0.3,1000
32,1.9982726503043753,0.3,1000
33,0.9847137807337865,0.3,1000
34,0.5851861843702972,0.3,1000
35,0.37918296624093567,0.3,1000
36,1.816518577099765,0.3,1000
37,0.5514450532129378,0.3,1000
38,1.3752178362692242,0.3,1000
39,0.5816227777288523,0.3,1000
40,1.5146010283480886,0.3,1000
41,0.39514795043926637,0.3,1000
42,5.222807286406832,0.3,1000
43,0.3338679158616191,0.3,1000
44,1.9684445082608057,0.3,1000
45,-0.16050031108588514,0.3,1000
46,2.3367270466379275,0.3,1000
47,-0.044538266041401764,0.3,1000
48,-0.25802074918044404,0.3,1000
49,2.239529121169811,0.3,1000
50,3.4351292763519163,0.3,1000
0,0.0,0.7,1000
1,0.5596577804839261,0.7,1000
2,-0.11206873803761486,0.7,1000
3,1.245118364191017,0.7,1000
4,0.13528143027259015,0.7,1000
5,4.520198784509404,0.7,1000
6,0.28252837426998123,0.7,1000
7,3.454802634849105,0.7,1000
8,0.6080013015183514,0.7,1000
9,4.9413297302515184,0.7,1000
10,-0.22976705733569613,0.7,1000
11,1.8909852901464776,0.7,1000
12,2.468963254258334,0.7,1000
13,3.6291769627321586,0.7,1000
14,0.09187427375893814,0.7,1000
15,-0.1307279799424924,0.7,1000
16,0.7925104743290439,0.7,1000
17,0.8165425308798431,0.7,1000
18,-0.5684735235288656,0.7,1000
19,2.234522916957033,0.7,1000
20,1.3695204080733663,0.7,1000
21,-0.16964663582601425,0.7,1000
22,0.4659136928408129,0.7,1000
23,0.07469840951924994,0.7,1000
24,0.01588779125221612,0.7,1000
25,0.7042358922862247,0.7,1000
26,1.566770550053521,0.7,1000
27,0.5677270855740397,0.7,1000
28,0.02749734940716414,0.7,1000
29,-0.22701541057528507,0.7,1000
30,1.5790950812076623,0.7,1000
31,2.4743781380008887,0.7,1000
32,1.9982726503043753,0.7,1000
33,0.9847137807337865,0.7,1000
34,0.5851861843702972,0.7,1000
35,0.37918296624093567,0.7,1000
36,1.816518577099765,0.7,1000
37,0.5514450532129378,0.7,1000
38,1.3752178362692242,0.7,1000
39,0.5816227777288523,0.7,1000
40,1.5146010283480886,0.7,1000
41,0.39514795043926637,0.7,1000
42,5.222807286406832,0.7,1000
43,0.3338679158616191,0.7,1000
44,1.9684445082608057,0.7,1000
45,-0.16050031108588514,0.7,1000
46,2.3367270466379275,0.7,1000
47,-0.044538266041401764,0.7,1000
48,-0.25802074918044404,0.7,1000
49,2.239529121169811,0.7,1000
50,3.4351292763519163,0.7,1000
0,0.0,0.3,1001
1,0.322402950032552,0.3,1001
2,0.8466266252192667,0.3,1001
3,3.05917061607389,0.3,1001
4,-0.41791532893808836,0.3,1001
5,1.4008227607983446,0.3,1001
6,2.479426300419388,0.3,1001
7,1.7830630440999025,0.3,1001
8,1.5773919652420187,0.3,1001
9,1.2019090138265969,0.3,1001
10,0.4101716720543551,0.3,1001
11,2.8106768201224397,0.3,1001
12,0.5652776836509938,0.3,1001
13,0.12453121810287993,0.3,1001
14,0.8068649906077987,0.3,1001
15,1.3290743925332693,0.3,1001
16,4.194493979203758,0.3,1001
17,-0.14843407350511617,0.3,1001
18,-0.2007230432964512,0.3,1001
19,-0.2320278447232712,0.3,1001
20,0.15855322415980588,0.3,1001
21,0.197931726885332,0.3,1001
22,0.14303521449036627,0.3,1001
23,0.7060146102200259,0.3,1001
24,0.43771134532686895,0.3,1001
25,4.376284716698036,0.3,1001
26,0.29305521532451695,0.3,1001
27,3.5475412490553007,0.3,1001
28,0.9705789480628637,0.3,1001
29,1.095047521696471,0.3,1001
30,1.5738481058529683,0.3,1001
31,0.3179732081589153,0.3,1001
32,0.39181857377658613,0.3,1001
33,0.5529725189879181,0.3,1001
34,0.9904436569706041,0.3,1001
35,1.768575814766345,0.3,1001
36,-0.08565718234191777,0.3,1001
37,0.9035510110739062,0.3,1001
38,0.3136512614474596,0.3,1001
39,3.0988242511179633,0.3,1001
40,0.8665050145458137,0.3,1001
41,0.19933697736315747,0.3,1001
42,0.4744214575802762,0.3,1001
43,-0.11063085090305413,0.3,1001
44,0.6459730635491987,0.3,1001
45,-0.16354869211062562,0.3,1001
46,0.47320290234697754,0.3,1001
47,0.6842794256279195,0.3,1001
48,-0.3318146093238806,0.3,1001
49,0.35296942692553357,0.3,1001
50,0.4273231913105281,0.3,1001
0,0.0,0.7,1001
1,0.322402950032552,0.7,1001
2,0.8466266252192667,0.7,1001
3,3.05917061607389,0.7,1001
4,-0.41791532893808836,0.7,1001
5,1.4008227607983446,0.7,1001
6,2.479426300419388,0.7,1001
7,1.7830630440999025,0.7,1001
8,1.5773919652420187,0.7,1001
9,1.2019090138265969,0.7,1001
10,0.4101716720543551,0.7,1001
11,2.8106768201224397,0.7,1001
12,0.5652776836509938,0.7,1001
13,0.12453121810287993,0.7,1001
14,0.8068649906077987,0.7,1001
15,1.3290743925332693,0.7,1001
16,4.194493979203758,0.7,1001
17,-0.14843407350511617,0.7,1001
18,-0.2007230432964512,0.7,1001
19,-0.2320278447232712,0.7,1001
20,0.15855322415980588,0.7,1001
21,0.197931726885332,0.7,1001
22,0.14303521449036627,0.7,1001
23,0.7060146102200259,0.7,1001
24,0.43771134532686895,0.7,1001
25,4.376284716698036,0.7,1001
26,0.29305521532451695,0.7,1001
27,3.5475412490553007,0.7,1001
28,0.9705789480628637,0.7,1001
29,1.095047521696471,0.7,1001
30,1.5738481058529683,0.7,1001
31,0.3179732081589153,0.7,1001
32,0.39181857377658613,0.7,1001
33,0.5529725189879181,0.7,1001
34,0.9904436569706041,0.7,1001
35,1.768575814766345,0.7,1001
36,-0.08565718234191777,0.7,1001
37,0.9035510110739062,0.7,1001
38,0.3136512614474596,0.7,1001
39,3.0988242511179633,0.7,1001
40,0.8665050145458137,0.7,1001
41,0.19933697736315747,0.7,1001
42,0.4744214575802762,0.7,1001
43,-0.11063085090305413,0.7,1001
44,0.6459730635491987,0.7,1001
45,-0.16354869211062562,0.7,1001
46,0.47320290234697754,0.7,1001
47,0.6842794256279195,0.7,1001
48,-0.3318146093238806,0.7,1001
49,0.35296942692553357,0.7,1001
50,0.4273231913105281,0.7,1001
0,0.0,0.3,1002
1,0.611374262768932,0.3,1002
2,0.044452367638947,0.3,1002
3,1.1466461995375137,0.3,1002
4,0.005543304901877266,0.3,1002
5,11.587356985168245,0.3,1002
6,0.716716683597268,0.3,1002
7,0.23441650835154543,0.3,1002
8,0.6156504851834671,0.3,1002
9,1.7185344703813534,0.3,1002
10,-0.006286891662434124,0.3,1002
11,1.930234502371358,0.3,1002
12,1.5307199926374322,0.3,1002
13,0.7383010561575387,0.3,1002
14,4.533419003990724,0.3,1002
15,1.2223929918800418,0.3,1002
16,0.15301571637955758,0.3,1002
17,0.10238350428943627,0.3,1002
18,-0.2133465382070202,0.3,1002
19,7.36624755195092,0.3,1002
20,0.7344527419651808,0.3,1002
21,0.15093327755992142,0.3,1002
22,1.7721117330724347,0.3,1002
23,0.3540759394131649,0.3,1002
24,-0.3432530318753543,0.3,1002
25,1.1794315574132412,0.3,1002
26,1.1823760659313813,0.3,1002
27,3.3907798162834353,0.3,1002
28,1.5493994470929042,0.3,1002
29,0.01722902794950376,0.3,1002
30,1.5664268117441862,0.3,1002
31,4.0059455312353816,0.3,1002
32,0.2264065629128768,0.3,1002
33,0.2935302118259949,0.3,1002
34,-0.3843450178706389,0.3,1002
35,0.03006965075307161,0.3,1002
36,1.6603995084975474,0.3,1002
37,1.742562097636423,0.3,1002
38,0.25846805696575226,0.3,1002
39,-0.19205670843954048,0.3,1002
40,2.023944333477978,0.3,1002
41,1.087283342990387,0.3,1002
42,1.9171922061018754,0.3,1002
43,0.6921379246440812,0.3,1002
44,-0.09176543126886394,0.3,1002
45,2.2653642283426945,0.3,1002
46,1.0058160985488533,0.3,1002
47,-0.4001414277282207,0.3,1002
48,-0.20224218074896871,0.3,1002
49,0.4816774281293631,0.3,1002
50,0.5275592996766474,0.3,1002
0,0.0,0.7,1002
1,0.611374262768932,0.7,1002
2,0.044452367638947,0.7,1002
3,1.1466461995375137,0.7,1002
4,0.005543304901877266,0.7,1002
5,11.587356985168245,0.7,1002
6,0.716716683597268,0.7,1002
7,0.23441650835154543,0.7,1002
8,0.6156504851834671,0.7,1002
9,1.7185344703813534,0.7,1002
10,-0.006286891662434124,0.7,1002
11,1.930234502371358,0.7,1002
12,1.5307199926374322,0.7,1002
13,0.7383010561575387,0.7,1002
14,4.533419003990724,0.7,1002
15,1.2223929918800418,0.7,1002
16,0.15301571637955758,0.7,1002
17,0.10238350428943627,0.7,1002
18,-0.2133465382070202,0.7,1002
19,7.36624755195092,0.7,1002
20,0.7344527419651808,0.7,1002
21,0.15093327755992142,0.7,1002
22,1.7721117330724347,0.7,1002
23,0.3540759394131649,0.7,1002
24,-0.3432530318753543,0.7,1002
25,1.1794315574132412,0.7,1002
26,1.1823760659313813,0.7,1002
27,3.3907798162834353,0.7,1002
28,1.5493994470929042,0.7,1002
29,0.01722902794950376,0.7,1002
30,1.5664268117441862,0.7,1002
31,4.0059455312353816,0.7,1002
32,0.2264065629128768,0.7,1002
33,0.2935302118259949,0.7,1002
34,-0.3843450178706389,0.7,1002
35,0.03006965075307161,0.7,1002
36,1.6603995084975474,0.7,1002
37,1.742562097636423,0.7,1002
38,0.25846805696575226,0.7,1002
39,-0.19205670843954048,0.7,1002
40,2.023944333477978,0.7,1002
41,1.087283342990387,0.7,1002
42,1.9171922061018754,0.7,1002
43,0.6921379246440812,0.7,1002
44,-0.09176543126886394,0.7,1002
45,2.2653642283426945,0.7,1002
46,1.0058160985488533,0.7,1002
47,-0.4001414277282207,0.7,1002
48,-0.20224218074896871,0.7,1002
49,0.4816774281293631,0.7,1002
50,0.5275592996766474,0.7,1002
0,0.0,0.3,1003
1,3.5557106050055687,0.3,1003
2,2.832373504779582,0.3,1003
3,1.6164382991538488,0.3,1003
4,1.5137380590699303,0.3,1003
5,0.17477165095389435,0.3,1003
6,0.6947798248093635,0.3,1003
7,1.27105174721702,0.3,1003
8,3.111189443905117,0.3,1003
9,0.15111689791913524,0.3,1003
10,0.14343041128560152,0.3,1003
11,-0.3705971551587326,0.3,1003
12,0.4751132819934708,0.3,1003
13,0.505639138196481,0.3,1003
14,1.2345124052095295,0.3,1003
15,3.8125777874842024,0.3,1003
16,1.148820939504504,0.3,1003
17,0.5498283503903819,0.3,1003
18,9.749781631427364,0.3,1003
19,-0.12218195849198166,0.3,1003
20,1.6111490317013657,0.3,1003
21,1.4987003470868325,0.3,1003
22,0.7376650713872066,0.3,1003
23,3.34030119336875,0.3,1003
24,2.1326963022116674,0.3,1003
25,1.5667516040379728,0.3,1003
26,1.2472511014105083,0.3,1003
27,1.6717494076750918,0.3,1003
28,0.4875065752653152,0.3,1003
29,0.07149582006149924,0.3,1003
30,0.21848274600296397,0.3,1003
31,0.26510853420564007,0.3,1003
32,1.2068159038758952,0.3,1003
33,0.42118937303639614,0.3,1003
34,1.3856463134841124,0.3,1003
35,4.731129277089704,0.3,1003
36,-0.09966300289120289,0.3,1003
37,0.514402602069675,0.3,1003
38,3.0347711524817704,0.3,1003
39,1.9155774734354207,0.3,1003
40,-0.051201301712495484,0.3,1003
41,0.43236692839622837,0.3,1003
42,0.48155919673551884,0.3,1003
43,0.25780136512024926,0.3,1003
44,0.06895801120773065,0.3,1003
45,0.7524413821658555,0.3,1003
46,1.5884373273425922,0.3,1003
47,0.03411330468542051,0.3,1003
48,0.3545098419297717,0.3,1003
49,2.719743433050621,0.3,1003
50,-0.024247532428489538,0.3,1003
0,0.0,0.7,1003
1,3.5557106050055687,0.7,1003
2,2.832373504779582,0.7,1003
3,1.6164382991538488,0.7,1003
4,1.5137380590699303,0.7,1003
5,0.17477165095389435,0.7,1003
6,0.6947798248093635,0.7,1003
7,1.27105174721702,0.7,1003
8,3.111189443905117,0.7,1003
9,0.15111689791913524,0.7,1003
10,0.14343041128560152,0.7,1003
11,-0.3705971551587326,0.7,1003
12,0.4751132819934708,0.7,1003
13,0.505639138196481,0.7,1003
14,1.2345124052095295,0.7,1003
15,3.8125777874842024,0.7,1003
16,1.148820939504504,0.7,1003
17,0.5498283503903819,0.7,1003
18,9.749781631427364,0.7,1003
19,-0.12218195849198166,0.7,1003
20,1.6111490317013657,0.7,1003
21,1.4987003470868325,0.7,1003
22,0.7376650713872066,0.7,1003
23,3.34030119336875,0.7,1003
24,2.1326963022116674,0.7,1003
25,1.5667516040379728,0.7,1003
26,1.2472511014105083,0.7,1003
27,1.6717494076750918,0.7,1003
28,0.4875065752653152,0.7,1003
29,0.07149582006149924,0.7,1003
30,0.21848274600296397,0.7,1003
31,0.26510853420564007,0.7,1003
32,1.2068159038758952,0.7,1003
33,0.42118937303639614,0.7,1003
34,1.3856463134841124,0.7,1003
35,4.731129277089704,0.7,1003
36,-0.09966300289120289,0.7,1003
37,0.514402602069675,0.7,1003
38,3.0347711524817704,0.7,1003
39,1.9155774734354207,0.7,1003
40,-0.051201301712495484,0.7,1003
41,0.43236692839622837,0.7,1003
42,0.48155919673551884,0.7,1003
43,0.25780136512024926,0.7,1003
44,0.06895801120773065,0.7,1003
45,0.7524413821658555,0.7,1003
46,1.5884373273425922,0.7,1003
47,0.03411330468542051,0.7,1003
48,0.3545098419297717,0.7,1003
49,2.719743433050621,0.7,1003
50,-0.024247532428489538,0.7,1003
0,0.0,0.3,1004
1,0.9388393047650356,0.3,1004
2,0.9468219690650668,0.3,1004
3,6.042244820275781,0.3,1004
4,1.0744094604629546,0.3,1004
5,-0.09161162738144124,0.3,1004
6,0.9160778404040193,0.3,1004
7,0.4421708248291467,0.3,1004
8,0.9566332162304105,0.3,1004
9,0.3736218412829295,0.3,1004
10,-0.029156737032599578,0.3,1004
11,0.2575262302285727,0.3,1004
12,-0.00603395391626782,0.3,1004
13,0.949040934942644,0.3,1004
14,0.625929103150889,0.3,1004
15,1.5257273149546657,0.3,1004
16,1.0483675019581953,0.3,1004
17,4.74664405908985,0.3,1004
18,0.486510596683045,0.3,1004
19,0.5323992828345703,0.3,1004
20,-0.3469621467611337,0.3,1004
21,0.9217024430695427,0.3,1004
22,0.9619110460662955,0.3,1004
23,0.2278568527245477,0.3,1004
24,4.39374258364896,0.3,1004
25,3.5433734574400857,0.3,1004
26,-0.01596664418912952,0.3,1004
27,1.0270673745386318,0.3,1004
28,2.3273852179490717,0.3,1004
29,-0.13944878278171435,0.3,1004
30,0.9551608457890424,0.3,1004
31,0.7116912127167665,0.3,1004
32,1.1737188161704837,0.3,1004
33,2.3614287960321363,0.3,1004
34,5.051578807694731,0.3,1004
35,1.806343786190958,0.3,1004
36,3.6307343991096177,0.3,1004
37,0.239182415730136,0.3,1004
38,3.3798254153323533,0.3,1004
39,1.3791744481816557,0.3,1004
40,0.6789191335739662,0.3,1004
41,1.8505303568740639,0.3,1004
42,0.7508061668352166,0.3,1004
43,0.36271482076055395,0.3,1004
44,1.019915213218189,0.3,1004
45,0.31993427614165126,0.3,1004
46,-0.27158118335150205,0.3,1004
47,0.3803256992653948,0.3,1004
48,3.421929566123928,0.3,1004
49,1.505032503393111,0.3,1004
50,4.708123353779053,0.3,1004
0,0.0,0.7,1004
1,0.9388393047650356,0.7,1004
2,0.9468219690650668,0.7,1004
3,6.042244820275781,0.7,1004
4,1.0744094604629546,0.7,1004
5,-0.09161162738144124,0.7,1004
6,0.9160778404040193,0.7,1004
7,0.4421708248291467,0.7,1004
8,0.9566332162304105,0.7,1004
9,0.3736218412829295,0.7,1004
10,-0.029156737032599578,0.7,1004
11,0.2575262302285727,0.7,1004
12,-0.00603395391626782,0.7,1004
13,0.949040934942644,0.7,1004
14,0.625929103150889,0.7,1004
15,1.5257273149546657,0.7,1004
16,1.0483675019581953,0.7,1004
17,4.74664405908985,0.7,1004
18,0.486510596683045,0.7,1004
19,0.5323992828345703,0.7,1004
20,-0.3469621467611337,0.7,1004
21,0.9217024430695427,0.7,1004
22,0.9619110460662955,0.7,1004
23,0.2278568527245477,0.7,1004
24,4.39374258364896,0.7,1004
25,3.5433734574400857,0.7,1004
26,-0.01596664418912952,0.7,1004
27,1.0270673745386318,0.7,1004
28,2.3273852179490717,0.7,1004
29,-0.13944878278171435,0.7,1004
30,0.9551608457890424,0.7,1004
31,0.7116912127167665,0.7,1004
32,1.1737188161704837,0.7,1004
33,2.3614287960321363,0.7,1004
34,5.051578807694731,0.7,1004
35,1.806343786190958,0.7,1004
36,3.6307343991096177,0.7,1004
37,0.239182415730136,0.7,1004
38,3.3798254153323533,0.7,1004
39,1.3791744481816557,0.7,1004
40,0.6789191335739662,0.7,1004
41,1.8505303568740639,0.7,1004
42,0.7508061668352166,0.7,1004
43,0.36271482076055395,0.7,1004
44,1.019915213218189,0.7,1004
45,0.31993427614165126,0.7,1004
46,-0.27158118335150205,0.7,1004
47,0.3803256992653948,0.7,1004
48,3.421929566123928,0.7,1004
49,1.505032503393111,0.7,1004
50,4.708123353779053,0.7,1004
0,0.0,0.3,1005
1,0.08106469303336955,0.3,1005
2,3.7448662478392354,0.3,1005
3,-0.13786674633242613,0.3,1005
4,3.9906138404137614,0.3,1005
5,2.348986485834209,0.3,1005
6,0.751374686420725,0.3,1005
7,-0.2596191721028923,0.3,1005
8,3.3973737471436474,0.3,1005
9,2.20224747557297,0.3,1005
10,3.2973249068402093,0.3,1005
11,-0.1270274818463798,0.3,1005
12,15.66948367404028,0.3,1005
13,0.40306574410352014,0.3,1005
14,2.184876610987774,0.3,1005
15,-0.1553949604781899,0.3,1005
16,0.5825729076932444,0.3,1005
17,1.6934358471734452,0.3,1005
18,0.5196034259865151,0.3,1005
19,0.03334340821842452,0.3,1005
20,0.14832125763876364,0.3,1005
21,-0.4928039466746045,0.3,1005
22,1.6712277741223154,0.3,1005
23,0.4396494177229673,0.3,1005
24,0.9511185735827121,0.3,1005
25,0.2916539657415438,0.3,1005
26,0.5709000438399481,0.3,1005
27,0.8318179799888432,0.3,1005
28,1.9842735512784622,0.3,1005
29,0.40481098973627616,0.3,1005
30,0.07256370070645235,0.3,1005
31,0.7478027510843862,0.3,1005
32,-0.4374094662980582,0.3,1005
33,-0.5967583808576218,0.3,1005
34,0.7051466015349882,0.3,1005
35,0.9658886396310746,0.3,1005
36,2.0195557767747334,0.3,1005
37,0.9646449289600103,0.3,1005
38,0.568034612630957,0.3,1005
39,0.6693135506733239,0.3,1005
40,0.843066871926755,0.3,1005
41,2.1302271540199866,0.3,1005
42,0.12694999675170388,0.3,1005
43,0.40338249408250376,0.3,1005
44,2.30828102201015,0.3,1005
45,0.09790870981944594,0.3,1005
46,0.6713542741030062,0.3,1005
47,1.0150797166706906,0.3,1005
48,4.169476621338413,0.3,1005
49,1.9771995140426977,0.3,1005
50,6.679095060231079,0.3,1005
0,0.0,0.7,1005
1,0.08106469303336955,0.7,1005
2,3.7448662478392354,0.7,1005
3,-0.13786674633242613,0.7,1005
4,3.9906138404137614,0.7,1005
5,2.348986485834209,0.7,1005
6,0.751374686420725,0.7,1005
7,-0.2596191721028923,0.7,1005
8,3.3973737471436474,0.7,1005
9,2.20224747557297,0.7,1005
10,3.2973249068402093,0.7,1005
11,-0.1270274818463798,0.7,1005
12,15.66948367404028,0.7,1005
13,0.40306574410352014,0.7,1005
14,2.184876610987774,0.7,1005
15,-0.1553949604781899,0.7,1005
16,0.5825729076932444,0.7,1005
17,1.6934358471734452,0.7,1005
18,0.5196034259865151,0.7,1005
19,0.03334340821842452,0.7,1005
20,0.14832125763876364,0.7,1005
21,-0.4928039466746045,0.7,1005
22,1.6712277741223154,0.7,1005
23,0.4396494177229673,0.7,1005
24,0.9511185735827121,0.7,1005
25,0.2916539657415438,0.7,1005
26,0.5709000438399481,0.7,1005
27,0.8318179799888432,0.7,1005
28,1.9842735512784622,0.7,1005
29,0.40481098973627616,0.7,1005
30,0.07256370070645235,0.7,1005
31,0.7478027510843862,0.7,1005
32,-0.4374094662980582,0.7,1005
33,-0.5967583808576218,0.7,1005
34,0.7051466015349882,0.7,1005
35,0.9658886396310746,0.7,1005
36,2.0195557767747334,0.7,1005
37,0.9646449289600103,0.7,1005
38,0.568034612630957,0.7,1005
39,0.6693135506733239,0.7,1005
40,0.843066871926755,0.7,1005
41,2.1302271540199866,0.7,1005
42,0.12694999675170388,0.7,1005
43,0.40338249408250376,0.7,1005
44,2.30828102201015,0.7,1005
45,0.09790870981944594,0.7,1005
46,0.6713542741030062,0.7,1005
47,1.0150797166706906,0.7,1005
48,4.169476621338413,0.7,1005
49,1.9771995140426977,0.7,1005
50,6.679095060231079,0.7,1005
0,0.0,0.3,1006
1,0.4421147486404108,0.3,1006
2,6.4872366157567125,0.3,1006
3,1.0251996577858258,0.3,1006
4,1.622281265756412,0.3,1006
5,0.9908475281673652,0.3,1006
6,1.6201299284277695,0.3,1006
7,5.086864298734156,0.3,1006
8,1.4051025238867174,0.3,1006
9,2.5516861366554964,0.3,1006
10,0.6988880438158203,0.3,1006
11,0.2644901631127826,0.3,1006
12,5.051307262531986,0.3,1006
13,2.202916851824833,0.3,1006
14,1.1215620120743188,0.3,1006
15,0.9907576720220117,0.3,1006
16,1.2555616347507206,0.3,1006
17,0.6310926385875547,0.3,1006
18,0.850777741626318,0.3,1006
19,0.394217282599009,0.3,1006
20,-0.16580250211803893,0.3,1006
21,5.033815685832845,0.3,1006
22,0.14882258542258858,0.3,1006
23,0.15005484257618495,0.3,1006
24,2.2504494253590606,0.3,1006
25,0.7938717148602552,0.3,1006
