step,count_action_fam,count_floodplain_fam,risk_averse,seed
1,31,413,0.3,1002
2,28,405,0.3,1002
3,28,396,0.3,1002
4,33,395,0.3,1002
5,22,388,0.3,1002
6,90,330,0.3,1002
7,66,290,0.3,1002
8,60,251,0.3,1002
9,53,233,0.3,1002
10,51,230,0.3,1002
11,68,206,0.3,1002
12,61,194,0.3,1002
13,60,194,0.3,1002
14,68,192,0.3,1002
15,45,201,0.3,1002
16,33,215,0.3,1002
17,29,227,0.3,1002
18,22,235,0.3,1002
19,28,249,0.3,1002
20,42,260,0.3,1002
21,34,266,0.3,1002
22,28,273,0.3,1002
23,34,283,0.3,1002
24,36,295,0.3,1002
25,29,302,0.3,1002
26,23,300,0.3,1002
27,30,311,0.3,1002
28,32,318,0.3,1002
29,47,326,0.3,1002
30,42,332,0.3,1002
31,28,335,0.3,1002
32,17,340,0.3,1002
33,36,343,0.3,1002
34,34,349,0.3,1002
35,25,353,0.3,1002
36,28,356,0.3,1002
37,27,356,0.3,1002
38,33,357,0.3,1002
39,33,362,0.3,1002
40,24,365,0.3,1002
41,22,366,0.3,1002
42,22,368,0.3,1002
43,38,370,0.3,1002
44,37,372,0.3,1002
45,27,374,0.3,1002
46,30,374,0.3,1002
47,33,374,0.3,1002
48,29,375,0.3,1002
49,30,379,0.3,1002
50,35,386,0.3,1002
0,0,423,0.7,1002
1,31,413,0.7,1002
2,28,405,0.7,1002
3,28,396,0.7,1002
4,33,395,0.7,1002
5,22,388,0.7,1002
6,41,371,0.7,1002
7,28,360,0.7,1002
8,28,354,0.7,1002
9,30,344,0.7,1002
10,26,340,0.7,1002
11,39,331,0.7,1002
12,39,317,0.7,1002
13,32,310,0.7,1002
14,38,301,0.7,1002
15,27,315,0.7,1002
16,26,326,0.7,1002
17,33,342,0.7,1002
18,22,349,0.7,1002
19,25,356,0.7,1002
20,44,368,0.7,1002
21,35,371,0.7,1002
22,29,378,0.7,1002
23,32,381,0.7,1002
24,37,385,0.7,1002
25,29,386,0.7,1002
26,26,391,0.7,1002
27,27,394,0.7,1002
28,28,399,0.7,1002
29,45,403,0.7,1002
30,41,407,0.7,1002
31,38,407,0.7,1002
32,13,410,0.7,1002
33,31,409,0.7,1002
34,39,412,0.7,1002
35,26,412,0.7,1002
36,25,411,0.7,1002
37,29,411,0.7,1002
38,36,416,0.7,1002
39,29,418,0.7,1002
40,28,420,0.7,1002
41,23,417,0.7,1002
42,19,416,0.7,1002
43,35,419,0.7,1002
44,33,421,0.7,1002
45,30,422,0.7,1002
46,30,423,0.7,1002
47,33,422,0.7,1002
48,33,422,0.7,1002
49,27,423,0.7,1002
50,34,422,0.7,1002
0,0,434,0.3,1003
1,28,427,0.3,1003
2,29,416,0.3,1003
3,30,412,0.3,1003
4,32,404,0.3,1003
5,38,403,0.3,1003
6,36,404,0.3,1003
7,21,402,0.3,1003
8,32,408,0.3,1003
9,30,409,0.3,1003
10,27,408,0.3,1003
11,37,407,0.3,1003
12,32,403,0.3,1003
13,26,406,0.3,1003
14,21,402,0.3,1003
15,33,402,0.3,1003
16,34,404,0.3,1003
17,27,406,0.3,1003
18,38,406,0.3,1003
19,30,401,0.3,1003
20,24,401,0.3,1003
21,33,405,0.3,1003
22,32,407,0.3,1003
23,24,408,0.3,1003
24,24,407,0.3,1003
25,26,408,0.3,1003
26,25,410,0.3,1003
27,24,410,0.3,1003
28,33,406,0.3,1003
29,19,408,0.3,1003
30,28,410,0.3,1003
31,14,412,0.3,1003
32,27,410,0.3,1003
33,30,414,0.3,1003
34,32,415,0.3,1003
35,33,416,0.3,1003
36,32,418,0.3,1003
37,22,421,0.3,1003
38,32,420,0.3,1003
39,23,419,0.3,1003
40,22,422,0.3,1003
41,25,423,0.3,1003
42,35,421,0.3,1003
43,26,419,0.3,1003
44,29,419,0.3,1003
45,33,421,0.3,1003
46,34,418,0.3,1003
47,24,415,0.3,1003
48,29,414,0.3,1003
49,28,419,0.3,1003
50,26,421,0.3,1003
0,0,434,0.7,1003
1,28,427,0.7,1003
2,29,416,0.7,1003
3,30,412,0.7,1003
4,32,404,0.7,1003
5,38,403,0.7,1003
6,36,404,0.7,1003
7,21,402,0.7,1003
8,32,408,0.7,1003
9,30,409,0.7,1003
10,27,408,0.7,1003
11,37,407,0.7,1003
12,32,403,0.7,1003
13,26,406,0.7,1003
14,21,402,0.7,1003
15,33,402,0.7,1003
16,34,404,0.7,1003
17,27,406,0.7,1003
18,38,406,0.7,1003
19,30,401,0.7,1003
20,24,401,0.7,1003
21,33,405,0.7,1003
22,32,407,0.7,1003
23,24,408,0.7,1003
24,24,407,0.7,1003
25,26,408,0.7,1003
26,25,410,0.7,1003
27,24,410,0.7,1003
28,33,406,0.7,1003
29,19,408,0.7,1003
30,28,410,0.7,1003
31,14,412,0.7,1003
32,27,410,0.7,1003
33,30,414,0.7,1003
34,32,415,0.7,1003
35,33,416,0.7,1003
36,32,418,0.7,1003
37,22,421,0.7,1003
38,32,420,0.7,1003
39,23,419,0.7,1003
40,22,422,0.7,1003
41,25,423,0.7,1003
42,35,421,0.7,1003
43,26,419,0.7,1003
44,29,419,0.7,1003
45,33,421,0.7,1003
46,34,418,0.7,1003
47,24,415,0.7,1003
48,29,414,0.7,1003
49,28,419,0.7,1003
50,26,421,0.7,1003
0,0,438,0.3,1004
1,36,422,0.3,1004
2,34,410,0.3,1004
3,29,404,0.3,1004
4,34,403,0.3,1004
5,32,401,0.3,1004
6,32,398,0.3,1004
7,29,398,0.3,1004
8,28,400,0.3,1004
9,34,397,0.3,1004
10,33,397,0.3,1004
11,36,399,0.3,1004
12,27,403,0.3,1004
13,30,399,0.3,1004
14,40,397,0.3,1004
15,35,401,0.3,1004
16,32,401,0.3,1004
17,29,404,0.3,1004
18,26,407,0.3,1004
19,33,409,0.3,1004
20,29,410,0.3,1004
21,23,414,0.3,1004
22,46,416,0.3,1004
23,25,413,0.3,1004
24,32,415,0.3,1004
25,27,417,0.3,1004
26,27,418,0.3,1004
27,28,415,0.3,1004
28,28,420,0.3,1004
29,28,421,0.3,1004
30,26,419,0.3,1004
31,42,422,0.3,1004
32,24,421,0.3,1004
33,21,422,0.3,1004
34,26,421,0.3,1004
35,33,424,0.3,1004
36,33,422,0.3,1004
37,28,419,0.3,1004
38,32,422,0.3,1004
39,35,420,0.3,1004
40,31,423,0.3,1004
41,39,420,0.3,1004
42,31,419,0.3,1004
43,25,420,0.3,1004
44,25,423,0.3,1004
45,24,424,0.3,1004
46,29,423,0.3,1004
47,40,420,0.3,1004
48,39,421,0.3,1004
49,23,423,0.3,1004
50,26,422,0.3,1004
0,0,438,0.7,1004
1,36,422,0.7,1004
2,34,410,0.7,1004
3,29,404,0.7,1004
4,34,403,0.7,1004
5,32,401,0.7,1004
6,32,398,0.7,1004
7,29,398,0.7,1004
8,28,400,0.7,1004
9,34,397,0.7,1004
10,33,397,0.7,1004
11,36,399,0.7,1004
12,27,403,0.7,1004
13,30,399,0.7,1004
14,40,397,0.7,1004
15,35,401,0.7,1004
16,32,401,0.7,1004
17,29,404,0.7,1004
18,26,407,0.7,1004
19,33,409,0.7,1004
20,29,410,0.7,1004
21,23,414,0.7,1004
22,46,416,0.7,1004
23,25,413,0.7,1004
24,32,415,0.7,1004
25,27,417,0.7,1004
26,27,418,0.7,1004
27,28,415,0.7,1004
28,28,420,0.7,1004
29,28,421,0.7,1004
30,26,419,0.7,1004
31,42,422,0.7,1004
32,24,421,0.7,1004
33,21,422,0.7,1004
34,26,421,0.7,1004
35,33,424,0.7,1004
36,33,422,0.7,1004
37,28,419,0.7,1004
38,32,422,0.7,1004
39,35,420,0.7,1004
40,31,423,0.7,1004
41,39,420,0.7,1004
42,31,419,0.7,1004
43,25,420,0.7,1004
44,25,423,0.7,1004
45,24,424,0.7,1004
46,29,423,0.7,1004
47,40,420,0.7,1004
48,39,421,0.7,1004
49,23,423,0.7,1004
50,26,422,0.7,1004
0,0,443,0.3,1005
1,39,429,0.3,1005
2,30,414,0.3,1005
3,28,407,0.3,1005
4,25,405,0.3,1005
5,27,403,0.3,1005
6,23,404,0.3,1005
7,30,403,0.3,1005
8,30,404,0.3,1005
9,26,404,0.3,1005
10,23,399,0.3,1005
11,40,401,0.3,1005
12,33,398,0.3,1005
13,46,377,0.3,1005
14,53,364,0.3,1005
15,51,348,0.3,1005
16,41,331,0.3,1005
17,30,323,0.3,1005
18,52,313,0.3,1005
19,38,306,0.3,1005
20,41,302,0.3,1005
21,26,299,0.3,1005
22,34,314,0.3,1005
23,37,329,0.3,1005
24,32,341,0.3,1005
25,34,347,0.3,1005
26,38,353,0.3,1005
27,32,359,0.3,1005
28,38,363,0.3,1005
29,33,368,0.3,1005
30,29,367,0.3,1005
31,29,374,0.3,1005
32,39,380,0.3,1005
33,41,379,0.3,1005
34,32,380,0.3,1005
35,29,387,0.3,1005
36,32,388,0.3,1005
37,24,390,0.3,1005
38,35,391,0.3,1005
39,24,392,0.3,1005
40,30,394,0.3,1005
41,25,397,0.3,1005
42,31,404,0.3,1005
43,24,403,0.3,1005
44,30,406,0.3,1005
45,25,409,0.3,1005
46,29,407,0.3,1005
47,30,412,0.3,1005
48,27,413,0.3,1005
49,28,413,0.3,1005
50,25,414,0.3,1005
0,0,443,0.7,1005
1,39,429,0.7,1005
2,30,414,0.7,1005
3,28,407,0.7,1005
4,25,405,0.7,1005
5,27,403,0.7,1005
6,23,404,0.7,1005
7,30,403,0.7,1005
8,30,404,0.7,1005
9,26,404,0.7,1005
10,23,399,0.7,1005
11,40,401,0.7,1005
12,33,398,0.7,1005
13,24,392,0.7,1005
14,32,391,0.7,1005
15,31,393,0.7,1005
16,24,389,0.7,1005
17,22,385,0.7,1005
18,39,385,0.7,1005
19,30,382,0.7,1005
20,33,378,0.7,1005
21,25,374,0.7,1005
22,31,387,0.7,1005
23,36,396,0.7,1005
24,33,402,0.7,1005
25,28,407,0.7,1005
26,43,413,0.7,1005
27,31,416,0.7,1005
28,39,416,0.7,1005
29,31,412,0.7,1005
30,28,415,0.7,1005
31,34,415,0.7,1005
32,38,414,0.7,1005
33,40,418,0.7,1005
34,31,417,0.7,1005
35,30,418,0.7,1005
36,32,417,0.7,1005
37,23,417,0.7,1005
38,36,417,0.7,1005
39,25,419,0.7,1005
40,26,420,0.7,1005
41,28,419,0.7,1005
42,26,417,0.7,1005
43,29,417,0.7,1005
44,25,418,0.7,1005
45,29,415,0.7,1005
46,30,416,0.7,1005
47,29,416,0.7,1005
48,27,415,0.7,1005
49,26,416,0.7,1005
50,30,418,0.7,1005
0,0,430,0.3,1006
1,33,420,0.3,1006
2,25,410,0.3,1006
3,21,401,0.3,1006
4,32,400,0.3,1006
5,34,398,0.3,1006
6,32,403,0.3,1006
7,29,402,0.3,1006
8,40,406,0.3,1006
9,22,413,0.3,1006
10,27,414,0.3,1006
11,33,418,0.3,1006
12,31,417,0.3,1006
13,32,421,0.3,1006
14,28,427,0.3,1006
15,22,424,0.3,1006
16,26,423,0.3,1006
17,30,426,0.3,1006
18,34,425,0.3,1006
19,41,419,0.3,1006
20,22,419,0.3,1006
21,22,423,0.3,1006
22,32,422,0.3,1006
23,29,420,0.3,1006
24,36,425,0.3,1006
25,26,429,0.3,1006
26,27,426,0.3,1006
27,27,427,0.3,1006
28,36,429,0.3,1006
29,26,427,0.3,1006
30,30,424,0.3,1006
31,30,427,0.3,1006
32,27,427,0.3,1006
33,34,431,0.3,1006
34,29,423,0.3,1006
35,138,369,0.3,1006
36,132,344,0.3,1006
37,110,335,0.3,1006
38,116,328,0.3,1006
39,88,324,0.3,1006
40,98,319,0.3,1006
41,98,315,0.3,1006
42,86,316,0.3,1006
43,91,320,0.3,1006
44,120,327,0.3,1006
45,29,332,0.3,1006
46,32,335,0.3,1006
47,30,339,0.3,1006
48,26,344,0.3,1006
49,30,349,0.3,1006
50,31,350,0.3,1006
0,0,430,0.7,1006
1,33,420,0.7,1006
2,25,410,0.7,1006
3,21,401,0.7,1006
4,32,400,0.7,1006
5,34,398,0.7,1006
6,32,403,0.7,1006
7,29,402,0.7,1006
8,40,406,0.7,1006
9,22,413,0.7,1006
10,27,414,0.7,1006
11,33,418,0.7,1006
12,31,417,0.7,1006
13,32,421,0.7,1006
14,28,427,0.7,1006
15,22,424,0.7,1006
16,26,423,0.7,1006
17,30,426,0.7,1006
18,34,425,0.7,1006
19,41,419,0.7,1006
20,22,419,0.7,1006
21,22,423,0.7,1006
22,32,422,0.7,1006
23,29,420,0.7,1006
24,36,425,0.7,1006
25,26,429,0.7,1006
26,27,426,0.7,1006
27,27,427,0.7,1006
28,36,429,0.7,1006
29,26,427,0.7,1006
30,30,424,0.7,1006
31,30,427,0.7,1006
32,27,427,0.7,1006
33,34,431,0.7,1006
34,29,423,0.7,1006
35,40,413,0.7,1006
36,30,404,0.7,1006
37,38,389,0.7,1006
38,35,379,0.7,1006
39,35,376,0.7,1006
40,33,372,0.7,1006
41,38,372,0.7,1006
42,21,372,0.7,1006
43,33,371,0.7,1006
44,38,372,0.7,1006
45,34,376,0.7,1006
46,31,377,0.7,1006
47,30,378,0.7,1006
48,28,384,0.7,1006
49,23,387,0.7,1006
50,36,385,0.7,1006
0,0,440,0.3,1007
1,23,429,0.3,1007
2,24,419,0.3,1007
3,44,405,0.3,1007
4,30,405,0.3,1007
5,40,406,0.3,1007
6,27,409,0.3,1007
7,29,408,0.3,1007
8,32,411,0.3,1007
9,34,411,0.3,1007
10,29,414,0.3,1007
11,36,419,0.3,1007
12,32,412,0.3,1007
13,30,415,0.3,1007
14,38,414,0.3,1007
15,35,416,0.3,1007
16,19,415,0.3,1007
17,34,415,0.3,1007
18,32,412,0.3,1007
19,32,415,0.3,1007
20,34,414,0.3,1007
21,29,417,0.3,1007
22,31,422,0.3,1007
23,35,418,0.3,1007
24,36,420,0.3,1007
25,24,423,0.3,1007
26,34,421,0.3,1007
27,23,419,0.3,1007
28,33,422,0.3,1007
29,33,421,0.3,1007
30,44,421,0.3,1007
31,32,417,0.3,1007
32,32,419,0.3,1007
33,30,417,0.3,1007
34,26,416,0.3,1007
35,27,421,0.3,1007
36,22,419,0.3,1007
37,31,416,0.3,1007
38,28,419,0.3,1007
39,27,418,0.3,1007
40,28,420,0.3,1007
41,34,422,0.3,1007
42,34,424,0.3,1007
43,36,425,0.3,1007
44,27,422,0.3,1007
45,22,423,0.3,1007
46,34,424,0.3,1007
47,25,422,0.3,1007
48,31,423,0.3,1007
49,28,424,0.3,1007
50,24,424,0.3,1007
0,0,440,0.7,1007
1,23,429,0.7,1007
2,24,419,0.7,1007
3,44,405,0.7,1007
4,30,405,0.7,1007
5,40,406,0.7,1007
6,27,409,0.7,1007
7,29,408,0.7,1007
8,32,411,0.7,1007
9,34,411,0.7,1007
10,29,414,0.7,1007
11,36,419,0.7,1007
12,32,412,0.7,1007
13,30,415,0.7,1007
14,38,414,0.7,1007
15,35,416,0.7,1007
16,19,415,0.7,1007
17,34,415,0.7,1007
18,32,412,0.7,1007
19,32,415,0.7,1007
20,34,414,0.7,1007
21,29,417,0.7,1007
22,31,422,0.7,1007
23,35,418,0.7,1007
24,36,420,0.7,1007
25,24,423,0.7,1007
26,34,421,0.7,1007
27,23,419,0.7,1007
28,33,422,0.7,1007
29,33,421,0.7,1007
30,44,421,0.7,1007
31,32,417,0.7,1007
32,32,419,0.7,1007
33,30,417,0.7,1007
34,26,416,0.7,1007
35,27,421,0.7,1007
36,22,419,0.7,1007
37,31,416,0.7,1007
38,28,419,0.7,1007
39,27,418,0.7,1007
40,28,420,0.7,1007
41,34,422,0.7,1007
42,34,424,0.7,1007
43,36,425,0.7,1007
44,27,422,0.7,1007
45,22,423,0.7,1007
46,34,424,0.7,1007
47,25,422,0.7,1007
48,31,423,0.7,1007
49,28,424,0.7,1007
50,24,424,0.7,1007
0,0,439,0.3,1008
1,32,431,0.3,1008
2,28,424,0.3,1008
3,38,418,0.3,1008
4,32,416,0.3,1008
5,34,415,0.3,1008
6,26,414,0.3,1008
7,27,415,0.3,1008
8,26,422,0.3,1008
9,33,416,0.3,1008
10,30,410,0.3,1008
11,38,413,0.3,1008
12,29,414,0.3,1008
13,28,417,0.3,1008
14,31,404,0.3,1008
15,77,352,0.3,1008
16,81,307,0.3,1008
17,82,279,0.3,1008
18,65,268,0.3,1008
19,66,257,0.3,1008
20,65,242,0.3,1008
21,74,208,0.3,1008
22,108,144,0.3,1008
23,91,114,0.3,1008
24,75,124,0.3,1008
25,40,129,0.3,1008
26,53,135,0.3,1008
27,53,137,0.3,1008
28,41,140,0.3,1008
29,44,142,0.3,1008
30,41,141,0.3,1008
31,44,151,0.3,1008
32,21,161,0.3,1008
33,28,167,0.3,1008
34,40,185,0.3,1008
35,39,196,0.3,1008
36,25,205,0.3,1008
37,29,212,0.3,1008
38,26,216,0.3,1008
39,32,226,0.3,1008
40,24,231,0.3,1008
41,40,239,0.3,1008
42,25,247,0.3,1008
43,37,257,0.3,1008
44,39,266,0.3,1008
45,31,271,0.3,1008
46,45,277,0.3,1008
47,27,283,0.3,1008
48,48,296,0.3,1008
49,39,299,0.3,1008
50,29,306,0.3,1008
0,0,439,0.7,1008
1,32,431,0.7,1008
2,28,424,0.7,1008
3,38,418,0.7,1008
4,32,416,0.7,1008
5,34,415,0.7,1008
6,26,414,0.7,1008
7,27,415,0.7,1008
8,26,422,0.7,1008
9,33,416,0.7,1008
10,30,410,0.7,1008
11,38,413,0.7,1008
12,29,414,0.7,1008
13,28,417,0.7,1008
14,31,404,0.7,1008
15,23,397,0.7,1008
16,32,389,0.7,1008
17,39,378,0.7,1008
18,26,369,0.7,1008
19,31,359,0.7,1008
20,29,349,0.7,1008
21,31,338,0.7,1008
22,39,322,0.7,1008
23,38,311,0.7,1008
24,33,309,0.7,1008
25,33,301,0.7,1008
26,24,295,0.7,1008
27,27,294,0.7,1008
28,30,292,0.7,1008
29,27,291,0.7,1008
30,27,287,0.7,1008
31,24,295,0.7,1008
32,24,306,0.7,1008
33,27,315,0.7,1008
34,33,327,0.7,1008
35,35,335,0.7,1008
36,37,342,0.7,1008
37,25,349,0.7,1008
38,29,353,0.7,1008
39,30,355,0.7,1008
40,25,360,0.7,1008
41,33,363,0.7,1008
42,35,367,0.7,1008
43,28,366,0.7,1008
44,42,372,0.7,1008
45,37,372,0.7,1008
46,36,379,0.7,1008
47,27,377,0.7,1008
48,46,380,0.7,1008
49,41,381,0.7,1008
50,30,384,0.7,1008
0,0,432,0.3,1009
1,34,422,0.3,1009
2,31,412,0.3,1009
3,27,405,0.3,1009
4,26,407,0.3,1009
5,30,408,0.3,1009
6,38,411,0.3,1009
7,29,410,0.3,1009
8,28,408,0.3,1009
9,27,408,0.3,1009
10,30,409,0.3,1009
11,30,411,0.3,1009
12,32,413,0.3,1009
13,33,419,0.3,1009
14,22,416,0.3,1009
15,35,417,0.3,1009
16,21,416,0.3,1009
17,31,414,0.3,1009
18,20,420,0.3,1009
19,30,421,0.3,1009
20,37,417,0.3,1009
21,27,420,0.3,1009
22,30,418,0.3,1009
23,28,420,0.3,1009
24,31,418,0.3,1009
25,36,420,0.3,1009
26,31,419,0.3,1009
27,26,423,0.3,1009
28,31,422,0.3,1009
29,36,423,0.3,1009
30,30,421,0.3,1009
31,34,422,0.3,1009
32,34,424,0.3,1009
33,32,421,0.3,1009
34,19,423,0.3,1009
35,27,425,0.3,1009
36,37,427,0.3,1009
37,29,424,0.3,1009
38,38,427,0.3,1009
39,170,425,0.3,1009
40,191,426,0.3,1009
41,169,432,0.3,1009
42,170,431,0.3,1009
43,166,434,0.3,1009
44,183,429,0.3,1009
45,170,432,0.3,1009
46,164,434,0.3,1009
47,183,434,0.3,1009
48,184,430,0.3,1009
49,32,430,0.3,1009
50,32,430,0.3,1009
0,0,432,0.7,1009
1,34,422,0.7,1009
2,31,412,0.7,1009
3,27,405,0.7,1009
4,26,407,0.7,1009
5,30,408,0.7,1009
6,38,411,0.7,1009
7,29,410,0.7,1009
8,28,408,0.7,1009
9,27,408,0.7,1009
10,30,409,0.7,1009
11,30,411,0.7,1009
12,32,413,0.7,1009
13,33,419,0.7,1009
14,22,416,0.7,1009
15,35,417,0.7,1009
16,21,416,0.7,1009
17,31,414,0.7,1009
18,20,420,0.7,1009
19,30,421,0.7,1009
20,37,417,0.7,1009
21,27,420,0.7,1009
22,30,418,0.7,1009
23,28,420,0.7,1009
24,31,418,0.7,1009
25,36,420,0.7,1009
26,31,419,0.7,1009
27,26,423,0.7,1009
28,31,422,0.7,1009
29,36,423,0.7,1009
30,30,421,0.7,1009
31,34,422,0.7,1009
32,34,424,0.7,1009
33,32,421,0.7,1009
34,19,423,0.7,1009
35,27,425,0.7,1009
36,37,427,0.7,1009
37,29,424,0.7,1009
38,38,427,0.7,1009
39,39,426,0.7,1009
40,31,424,0.7,1009
41,27,423,0.7,1009
42,27,423,0.7,1009
43,34,425,0.7,1009
44,36,426,0.7,1009
45,46,425,0.7,1009
46,26,425,0.7,1009
47,33,425,0.7,1009
48,27,425,0.7,1009
49,39,426,0.7,1009
50,35,427,0.7,1009
0,0,438,0.3,1010
1,32,428,0.3,1010
2,30,416,0.3,1010
3,32,411,0.3,1010
4,41,415,0.3,1010
5,34,416,0.3,1010
6,23,414,0.3,1010
7,42,411,0.3,1010
8,32,414,0.3,1010
9,37,407,0.3,1010
10,28,402,0.3,1010
11,45,408,0.3,1010
12,26,405,0.3,1010
13,25,408,0.3,1010
14,22,409,0.3,1010
15,32,409,0.3,1010
16,28,413,0.3,1010
17,24,413,0.3,1010
18,25,415,0.3,1010
19,25,417,0.3,1010
20,37,415,0.3,1010
21,33,413,0.3,1010
22,38,414,0.3,1010
23,23,416,0.3,1010
24,24,416,0.3,1010
25,27,417,0.3,1010
26,31,419,0.3,1010
27,43,419,0.3,1010
28,26,421,0.3,1010
29,19,421,0.3,1010
30,27,418,0.3,1010
31,27,416,0.3,1010
32,22,418,0.3,1010
33,35,420,0.3,1010
34,27,418,0.3,1010
35,38,405,0.3,1010
36,41,401,0.3,1010
37,35,394,0.3,1010
38,43,392,0.3,1010
39,33,385,0.3,1010
40,43,378,0.3,1010
41,29,379,0.3,1010
42,37,376,0.3,1010
43,26,377,0.3,1010
44,36,389,0.3,1010
45,27,393,0.3,1010
46,27,397,0.3,1010
47,38,403,0.3,1010
48,27,403,0.3,1010
49,30,410,0.3,1010
50,36,416,0.3,1010
0,0,438,0.7,1010
